stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,gut,hatching.gland,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,xanthophores
  3-4,21.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.61,0,0,24.24,0,5.01,0,0,0,0
 10-12,0,0,0,0,0,0,6.15,0,0,3.74,0,20.11,0,6.03,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.86,2.11,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.68,1.34,0,0,0,0.89,0
 36-46,0,0,0,0,0,0,0,1.86,0,1.17,0,0,0,0.91,0,0
 48-58,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0.65,0,0
 60-70,0,0,0.71,0,3.12,1.29,0,0,0,3.24,0,0,0,0,0,0
 72-82,0,0,0,0,3.06,0,0,0,0,1.48,0,0,0,0,0,0
 96-106,0,0,1.8,0,0,0,0,2.01,0,0,0,0,0,3.6,0,0
108-118,0,0.74,0,1.28,0,0,0,0,0,0,0,0,0,2.52,0,0
120,0,0,0,0,6.34,0,0,0,8.9,14.24,0,0,0,1.53,0,8.94
