stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0.72,0,0,10.75,4.59,0,69.98,0,0,0,0,0,0.96,0.64
 36-46,0,0,0,0.68,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0,0.88,0,51.06,0,0,0,0,0,0,0
 48-58,0,5.35,0,6.34,0,0,1.24,0,0,0,0,21.47,15.57,0,0,0,0,0,7.02,0,104.75,0,0,0,0,0,0,13.21
 60-70,0,0,4.71,10.87,0,0,2.31,0,0,0,0,82.38,47.83,0,0,0,1.83,1.74,15.69,0.83,212.86,0,0,0,0,0,0,4.52
 72-82,0,0,0,2.94,0,0,2.25,0,0,0.73,0,79.45,117.7,0,0,5.03,0,0,3.75,0,367.08,0,2.24,0,1.23,1.87,2.85,5.77
 84-94,0,0,0,6.84,0,0.89,0,0,1.66,1.09,0,66.31,116.47,0,0,1.39,0,0,1.88,0,493.16,0,0,0,1.8,0,0,0
 96-106,0,0,0,17.36,0.84,0,0,0,0,0,0,84.52,261.05,5.51,0,9.38,0,0,30.17,0,702.85,1.2,1.72,0,0,0,0.74,17.2
108-118,0,0,2.61,8.64,0,0,3.48,0.42,0,0,0.59,87.56,144.37,0.93,0,7.53,0,0,11.67,0,541.9,0,0.9,0.87,0,0,0,0
120,0,0,1.96,17.7,0,0,8.18,0,0,0,0,93.3,160.16,0,0,21.62,0,0,36.56,0,818.94,0,0,0,8.77,0,0,0
