stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.61,1022.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2,0,0,0,0,0,0,0,0,0,0
  5-6,49.82,433.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,6.97,0,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0,0,0,0,40.14,0,0,31.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.18,0,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,87.21,0,0,16.91,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.92,0,0.81,0,0,1.12,1.08,0,0,13.37,0,0,4.39,0,0,0,8.42,0,1.09,0,0,0,0.9,0,0,0,10.66,0,0,0,0,0
 24-34,0,0,0,0,0,1.33,0,0,0,0.64,0,0,0,1.53,24.62,0,0,13.1,0,0,7.44,17.13,0,0,0,0,0,0,0,0,2.03,3.38,0,0,0.73,0,1.68
 36-46,0,0,0,0,0,0,0,2.82,0,1.67,0,0,0,0,27.87,0,7.95,24.45,0,0,7.93,34.48,0,0,0,0,0,0,0,0,0,3.33,0,0.62,0,0,0
 48-58,0,0,0,0,0,0,0,8.48,0,4.72,1.9,0,0,2,13.01,0,5.46,29.21,0,0,5.22,18.52,0,0,0,0,0.38,0,0,0.46,0,4.75,0,0,2.77,0,2.8
 60-70,0,0,0,0,0,0,0,18.61,0,8.76,0,0,0.79,1.9,2.69,2.76,9.98,67.7,0,2.56,6.92,23.08,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,8.41
 72-82,0,0,0,0,0.77,0,0,11.52,0,9.3,6.63,0,4.33,0,8.41,8.2,9.95,163.8,0,3.97,9.01,16.69,1.18,0,0,0,0,0,0.49,0,0,0,5.87,5.34,1,5.47,25.17
 84-94,0,0,2.22,0,2.14,0,0,12.14,0,2.18,26.76,0,0,3.39,13.47,3.23,0.73,102.62,1.53,0.68,6.3,10.11,1.05,0,0,0,0.9,0,0.74,0,0,0,9.93,4.57,3.57,13.05,9.62
 96-106,0,0,0,0,1.07,0,0,29.82,0,6.15,46.44,1.36,0,1.41,19.14,3.7,1.45,157.74,1.33,3.8,7.33,16.03,0,0,0,9.8,12.17,0,1.71,0,0,0,4.3,2.46,1.05,11.76,8.98
108-118,0,0,0,0,2.96,0,2,16.16,0.6,9.44,37.86,1.25,0,1.73,15.17,12.21,6.31,153.23,0,1.29,6.89,29.91,0.47,0,0,2.7,0,0,0.52,0,0,0,4.2,2.28,6.49,6.08,11.49
120,0,0,0,0,1.19,0,0,1.42,0,8.55,50.76,0,0,5.64,3.59,8.35,0,195.91,3.12,8.3,2.8,8.36,0,0,0,0,1.45,0,0,0,0,0,5.39,5.29,0,0,10.4
