stage,gut,mesenchyme,neural,olfactory
 10-12,0,0,20.6,0
 36-46,0,0,0.59,0
 60-70,0,0,1.09,3.34
 72-82,0,0.58,10.5,0
 84-94,0,1.84,0,0.99
108-118,0.5,0,1.95,0
