stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  7-9,9.66,0,0,0,0,0,0,0,0,0,4.68,6.13,0,5.22,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,42.65,0,0,0,0,0,10.14,0,0
 14-21,0,2.46,0.81,0,0.82,0,0,0,0,0,30.62,0,0,0,0,1.13,0,2.81,0
 24-34,0,0,2.23,0,1.88,0,0.85,0,0,0,39.41,0,0,0,0,0,0,3.26,0
 36-46,0,0,0,0,0,0,0,0,0.88,0,117.74,0,0.61,0,1.58,0,0,1.87,0
 48-58,0,0,0.79,0,0.6,0,0,0,2.86,0,165.07,0,0,0,0,0,0,3.36,0
 60-70,0,0,1.53,0,2.69,0,0,0,1.59,0,216.6,0,0,0,0,0,0,0.91,0
 72-82,0,0,18.1,0,2.03,0,0,0,2.06,0,259.49,0,0,0,0,0,0,3.4,0
 84-94,0,0,12.49,0,2.66,0,0,1.05,4.5,1.77,231.07,0,3.51,0,0,0,0,0,0.69
 96-106,0,0,11.67,0,7.07,0,0,0,6.91,0,130.81,0,0,0,0,0,0,2.77,0
108-118,0,1.77,2.07,4.46,4.95,0.42,0,0.71,7.56,0,175.84,0,0,0,0,0,0,1.82,3.69
120,0,2.55,10.78,0,3.18,0,0,0,0,1.03,360.75,0,1.09,0,0,0,0,0,0
