stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,67.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,0,0,9.73,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.85,0,0,0,0,0,0,0,0,7.47,0,0,0,0,36.26,0,0,26.93,0,0,11.13,0,0
 14-21,0,0,2.39,4.53,1.84,0,6.59,0,0,0,1.29,0,0,0,0,0,7.05,0,0,0,25.57,0,0,2.29,0,0.82,13.76,19.33,0
 24-34,0,0,0,0.87,0,0,3.32,0,0,0,0,0,0,0,0,1.5,0,0,0,0.85,25.37,1.33,0,0,0,0,18.25,3.66,1.74
 36-46,0,0,0,0,0,0,6.41,0,0,0.59,0,0,0,0,0,0,1.57,0,0,0,27.23,0,0,0,0,0,25.19,5.98,0
 48-58,0,0,0,2.09,0,0,7.21,0,1.15,0.56,0,0,0,0,0,0.44,0.78,0,0.51,1.1,19.26,0,0,0,0,0,4.72,3.35,0
 60-70,0,0,0,0,0,0,34.02,0,2.14,0,0,0,0,0,0,0,2.09,0,0,0,45.66,0,0,0,0,0,10.55,21.47,0
 72-82,0,0,0,2.44,0,0,22.77,0,2.22,2.28,0,0,1.13,0,0,3.3,2.36,0.58,0,0.5,65.85,0,0,0,0,0,11.8,9.88,0
 84-94,0,0,0,3.66,0,0,21.9,0,3.96,5.87,0,0,0,0,0.67,6.09,5.97,0,0,2.01,36.2,0,0,0,0,0,40.59,9.78,0
 96-106,0,0.56,0,7.56,0,0,12.3,0.6,7.91,1.21,0,0.6,2.52,0,0,4.57,0,0,0,0.94,27.78,0.57,0,0,2.33,0,19.58,5.24,0
108-118,0,0,1.06,6.19,0,1.26,34.99,0,4.59,8.87,0,0,3.01,1.66,1.68,14.08,6.25,0,0,1.09,44.14,0,0.44,0,3.35,0,25.36,12.97,0.87
120,0,0,0,14.92,0,0,9.28,0,0,10.17,0,0,7.27,0,0,4.06,3.05,0,0,1.53,33.89,0,0,0,6.37,0,19.58,0,0
