stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.93,0,0,0,6.68,0,0,0,11.08,0,0,0,0,0,0,0,0
 14-21,0,0,9.83,1.37,3.65,0,0,0,1,0,0,0,0,0,0,0,4.13,0,0,1.66,53.4,4.01,0,0,2.64,0,0,7.15,0,0,7.59,21.62,0,0,1.29,0,0
 24-34,0,0,4.32,0,4.56,0,1.07,0.71,3.86,0,3.45,0,3.16,0,0,0,13.42,0,0,3.8,62.02,1.51,0,0,0,0,3.73,0,0,0,0,6.79,0,0,4.49,0,0
 36-46,0,0,2.36,0,6.6,0,0,0,6.35,0,0,0,0,0,0.79,0,9.85,0,0,6.32,55.6,1.21,2.94,1,0,0,6.77,0,0,0,0,18.69,0,0,0.83,0,0
 48-58,0,0,3.3,0,19.7,0,4.89,0.93,5.45,0,0.5,0,0,0,0,0,19.52,0.52,0,2.53,37.55,0,0.43,0.64,0,0,1.65,0,0,0,0,12.61,0,0,1.34,0,0
 60-70,0,0,6.11,0,24.22,0,0,0,3.82,0,0,0,0,0,0,0,19.05,0,7.56,0,54.33,0,0,0,0,0,0,0,0,1.91,0,3.88,0,1.11,0,0,0
 72-82,0,0,1.06,0,9.07,0,2.6,3.11,6.55,0.59,0,0,0.7,0,0.79,0,57.76,0,0,3.17,63.89,0,0,3.25,0,0,1.17,0,0,0,0,5.64,0,1.37,4.57,0,0
 84-94,0,0,4.23,1.83,19.92,0,0.63,4.12,6.84,1.87,0,0.65,0,0,0.89,1.84,26.24,2.74,1.04,9.29,55.7,0,0,1.74,0,0,4.19,0,0.62,0,0,0.82,0,0,1.54,0,1.33
 96-106,0,0,3.1,0,13.22,0,2.44,0,10.24,0.59,2.23,0,0,0.79,2.07,0,36.2,0,0,6.26,11.75,0.81,0.64,0.59,0,0.79,4.13,0,0,0,0,3.95,0.56,0.58,4.31,0.96,0
108-118,0,0.57,3.13,1.45,8.16,0.42,1.65,1.16,16.58,4.99,1.1,0,1.38,2.6,2.55,1.46,13.59,0,2.01,2.08,41.68,0,0,1.54,0,0,1.91,0,0,0,0,0,0,0,0,0.57,2.59
120,0,0,5.62,0,5.45,0,0,0,9.58,1.61,0,0,0,0,0,0,9.32,0,0,0,31.29,0,2.49,8.73,0,0,4.83,0,0,0,0,0,0,0,0,21.45,0
