stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,9.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0,0
 10-12,5,0,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.37,0,0,0,0,0,0.94,0,0.86,0,0,0,0
 24-34,0,1.46,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.7,0,1.9,0,0,0,0,0,0,4.5,0,0
 72-82,0,2.05,0,1.79,0,2.79,0,0,0,3.6,0,0,0,0,0,1.88,0,0.91,0
 84-94,0,0,0,0,0,0,0,0,0,1.13,0,1.13,0,0,0,0,0,0,0
 96-106,0,0,5.12,0,0,0,0,0,4.13,1.25,0,0,0,3.88,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.26,0,0,0,2.32,0,0,0,0,0,0.75
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,9.88,0
