stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,164.06,2787.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.59,0,0,0,0,0,0,0,0,0,0
  5-6,147.8,4659.54,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.25,0,0,0,19.15,0,86.87,0,0,0,0,0,0,0,0,0,0
  7-9,9.64,127.42,87.92,0,0,0,472.71,0,0,0,0,0,55.95,0,0,0,0,0,0,0,0,0,0,0,3065.34,30.76,0,0,664.89,0,0,20.69,0,0,0,0,0,0,0,0,0
 10-12,0,102.39,42.22,0,5.18,0,154.72,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,0,2543.7,31.82,0,0,892.31,0,0,3.03,0,194.3,0,5.09,0,0,0,0,0
 14-21,0,0,19.4,86.08,22.43,0,86.33,0,1.64,0,22.98,4.2,0,0,0,1.72,0,0,0,0,61.28,0,0,35.49,992.45,8.66,1.76,22.17,13.12,0,1.1,0,36.69,4.64,54.66,328.92,0,0,5.35,0,14.19
 24-34,0,0,2.3,20.13,3.66,0,457.1,0,2.11,0.63,40.69,1.9,0,10.33,0,2.39,1.62,5.33,4.61,4.07,144.9,1.24,1.73,36.78,2501.67,0,11.54,75.71,0,0,19.78,0,0,6.87,13.61,501.7,0,0,40.52,0,2.2
 36-46,0,0,0,2.92,0,0,1211.44,0,0,1.3,132.42,3.39,0,6.83,0,0.57,8.43,2.69,0,9.57,112.22,0,7.48,20.59,2842.68,0,8.06,20.29,0,0.77,42.43,0,0,1.58,0,450.65,0,0,13.2,0,0.85
 48-58,0.78,0,0,14.02,5.24,0,1156.75,0.65,0,3.15,303.43,0.81,0,3.69,0.47,2.94,0.77,1.53,0.74,0,132.06,0.8,3.61,23.62,1978.61,0,5.27,15.01,0,0,5.4,0,0,1.58,0,376.92,0,0.61,18.92,0,3.34
 60-70,0,0,0,3.21,0,0,525.28,0,0,4.46,259.5,17.2,0,2.6,0,3.07,4.76,0.73,0.78,7.55,171.7,0,9.26,13.64,1117.27,0,0,35.46,0,8.08,11.57,0,0,1.92,0,174.23,0,1.27,9.91,0,8.08
 72-82,0,0,0,20.81,12.68,0,248.32,0,0,4.09,167.67,0.53,0,5.9,1.89,1.57,2.32,0.64,0,0,180.79,0,8.43,16.95,826.28,0,1.07,11.5,0,9.34,5.19,0,0,0,0,92.52,0,2.59,25.92,2.73,16.43
 84-94,0,0,2.08,33.73,6.85,0,179.57,0,2.43,3.45,213.69,5.99,0,10.88,13.44,1.91,1.99,6.09,0,5.95,188.1,0,17.27,18.3,709.27,0,0.7,28.18,0,1.58,38.93,0,0,0.56,0,134.54,0,3.58,26.84,1.22,15.35
 96-106,0,0,0,34.08,4.44,0,140.1,0.71,2.31,0.75,155.15,3.97,0,6.77,11.17,0.6,4.67,9.39,0.62,1.37,180.2,0,4.13,10.37,478.92,0,3.99,30.24,0,4.95,22.69,0,0,2.58,0,38.1,0,6.45,12.92,1.88,22.76
108-118,0,0,0,19.96,21.92,7.95,183.3,0.64,0.56,5.46,134.14,8.1,0,3.56,18.36,9.4,1.73,8.99,1.59,4.85,212.91,2.44,9.42,20.98,671.6,1.07,7.87,25.84,0,12.25,23.83,0,0,1.4,0,29.31,0.52,6.19,28.49,2.2,9.07
120,0,0,0,36.28,18.77,1.61,248.65,0,2.33,8.67,262.72,8.03,0,0,22.57,3.71,15.68,9.76,14.59,0,228.42,0,10.37,17.52,721.65,0,0,29.58,0,31.84,22.28,0,0,9.01,0,27.85,0,10.15,81.45,0,0
