stage,epidermis,fast.muscle,fin.epithelia,fin.mesenchyme,hatching.gland,mesenchyme,neural,otic,periderm
 24-34,0,0,0,0,0,0.73,0,0,0
 48-58,0,1.05,0,0,0,0,6.58,0,0
 60-70,0,0,0,0,4,0,5.16,0,0
 72-82,0,0,0,0,0,2.37,0,0,0
 96-106,0.57,0,0.56,0,0,1.26,0,0.6,0
108-118,1.79,0,0.5,1.79,0,0.93,0,0,0.5
