stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,313.7,5655.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.18,0,0,0,0,0,0,0,0,0
  5-6,340.32,5037.35,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1,23.84,0,0,14.82,0,114.59,0,0,0,0,0,0,0,0,0
  7-9,31.43,43.35,16.47,0,0,83.55,0,0,0,0,30.54,0,0,0,0,0,0,0,0,0,724.85,19.46,0,0,145.48,0,5.27,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,45.33,0,0,6.47,3.11,0,0,0,0,0,0,0,4.35,0,6.1,0,0,0,0,0
 24-34,0,0,0,8.71,0,0.73,0,4.32,0,0,0,0.67,0,0,0,0,94.41,0,0,37.78,0.84,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,0
 36-46,0,0,0,0.61,0,0,0,18.17,0,0,0,1.06,0,0,0,0,269.04,0,0,64.03,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84,0
 48-58,0,0,0,0.43,0,5.52,9,26.63,0,0,0,5.27,0.85,0,0,0,294.27,0,0,44.74,15.68,0,0,0,0,0,3.48,0,0,0,0,1.5,0,0,0.66,0
 60-70,0,0,0,5.17,0,11.19,6.08,52.1,3.59,3.45,0,2.07,0,0,0,0,1061.85,0.85,3.3,90.02,18.35,0,0,0,0,1.92,0.64,0,0,0,0,1.66,0,3.48,4.81,0.73
 72-82,0,0,0,1.42,4.11,46.85,0,43.11,3.25,0,0,5.43,0,0.93,0,0,1242.62,0,6.94,70.61,58.7,0,1.04,0.5,0,2.35,0,0,0,0,0,2.07,0,1.26,4.84,4.18
 84-94,0,0,0,4.11,0,36.37,0,34.57,4.85,0,0,2.45,0,0.96,1.91,1.81,1047.69,0,7.15,70.5,11.37,0,0,0,0,0.79,1.53,0,0,0,0,0,0,6.54,0,6.51
 96-106,0,0,0,2.04,0,39.55,1.18,52.5,4.69,0.57,0,4.91,2.74,0,0,2.28,1149.34,0,22.42,84.69,45.08,0,0,2.84,0,3.76,7.1,0,0,0.88,0,1.76,0,1.35,0.75,9.79
108-118,0,0,0,6.25,1.18,39.63,1.84,40.38,8.09,1.48,0,4.59,2.37,0,0,0,1707.38,3.42,16.4,66.54,57.67,0,0.55,0,0,10.6,1.59,0,0,0,0,1.21,1.01,14.4,1.72,5.33
120,0,0,0,0,0,76.14,0,34.6,0,0,0,13.78,17.08,0,0,0,1320.87,0,7.36,53.35,32.31,0,8.07,0,0,23.58,0,0,0,0,0,0,0,8.97,3.98,11.4
