stage,axial,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.87,520.13,43.46,0,60.09,0,0,0,263.45,10.07,1.58,0,0,2.68,0,0,0,0,60.16,1.69,0,28.1,2490.18,5.83,0,0.93,9.96,0,2.62,9.98,37.37,0,17.36,2852.1,0,0,0.92,0,0
 24-34,0,0,171.88,0.62,0,71,0,4.76,0,598.36,0.75,0,0.98,0,0.6,9.21,4.2,0,0,24.09,0,1.66,8.66,1333.31,0,0.77,11.35,0,0,2.11,0,4.63,0.63,4.01,2042.97,0,0,2.67,0,0.72
 36-46,0,0,100.8,0,0,30.07,0,1.14,0,278.23,0,0,0.75,0,0,3.64,11.32,6.69,0,30.15,0.56,0,22.85,661.33,0,0,33.1,0,0,11.4,0,0,5.53,0,813.44,0,0,0,0,0
 48-58,0,0,78.16,0,0,22.68,0.68,14.79,0.49,178.06,0,0,3.37,0,0,0,21.29,8.42,0,102.49,0.72,0,7.21,159.91,0,0.95,11.32,0,0.61,0,0,0,0.76,0,643.24,0,0,0,1.9,4.72
 60-70,0,0,68.62,0,0,21.81,0,11.72,0,74.21,0,0,0.71,0,0.61,1.66,14.55,8.24,0,246.43,0,0.65,4.97,128.8,0,0,16.5,0,3.41,6.15,0,0.85,0,0,370.05,0,5.52,0.83,1.28,0
 72-82,0,4.66,59.78,0,0,22.56,1.49,9.76,0.61,140.37,0,0,5.98,0,0.76,0,23.81,0,0,333.31,0,0.49,6.47,110.96,0,4.22,20.33,0,0,4.42,0,0,0,0,303.15,0,3.6,0.63,28.55,0
 84-94,1.23,6.93,176.61,0,0,35.38,1.36,27.26,1.39,146.89,0,0,0,0,0,0,24.61,3.82,0,398.09,0,0,2.36,57.33,0,1.78,24.91,0,0,2.34,0,0.62,0,0,399.86,0,7.06,2.28,17.12,0
 96-106,0,4.02,193.36,0,0,17.16,0,27.31,3.97,114.08,0,0,7.73,0.69,0,2.39,34.13,5.98,0,417.37,0,3.79,8,70.05,0,5.28,16.33,0,0,4.86,0,0,0,0,360.47,0,5.25,12.6,42.81,0
108-118,0,3.67,229.89,0,3.86,11.18,0.64,38.49,2.16,123.73,0.68,0,2.46,0.63,1.65,2.18,15.05,4.72,5.3,417.5,0.7,0.62,5.47,116.96,0.67,1.86,18.7,0,0,2.18,0,0,0,0,209.6,1.3,1.41,1.88,58.72,0
120,0,4.41,163.75,0,0,11.25,0,24.79,9.31,153.86,2.35,0,0,9.03,2.5,0,0,11.59,0,357.71,1.16,0,3.27,77.52,0,0,6.46,0,0,5.59,0,0,0,0,186.05,0,15.96,0,13.36,0
