stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.18,62.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,30.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.11,0,0,0,0,0,0,0,17.93,0,0,0,0,33.64,0,11.83,5.86,3.53,0,0,0.89,0,0,0.86,0,5.75,2.77,0.82,0,0,0,0,0
 24-34,0,0,0,0,0.66,0.6,0,1.31,0,0,9.81,0,31.97,0,0,0,0,61.32,0,8.47,153.76,0,9.19,0,0,0,0,0,5.08,0,0,16.9,0,0,0.69,0,0
 36-46,0,0,0,0,0,0,0,3.52,0,7.79,8.11,0,10.05,0,0,0,0,112.22,0.55,6.75,249.11,0,21.29,12.25,0,0,0.83,0,0,0,0,47.04,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,46.08,1.68,16.48,5.66,0,3.78,0,0,0,0,199.23,0,6.89,692.42,0,27.88,0.4,0,0,2.67,0,0.47,0,0,63.17,0,0.89,4.62,0,3.15
 60-70,0,0,0.91,0,1.77,0,0,60.72,6.08,33.03,9.17,0,2.12,0,9.69,0,0,413.71,16.12,7,1171.3,0,31.16,0,0,4.98,4.04,0,0.73,0,0,49.06,0,2.64,1.09,2.36,0
 72-82,0,0,0,0,12.87,2.16,0,142.65,0,12.63,28.99,2.38,3.02,0,0,0,0,512.12,11.08,11.91,1520.5,0,42.4,0,0,12.58,0,0,0,0,0,87.94,0.97,11.83,0,6.82,1.14
 84-94,0,0,0,0,5.34,0,0,127.49,12.36,33.59,36.45,0,7.14,0.91,1.13,1.81,0,401.98,11.97,19.31,979.13,1.43,11.68,0.92,0,2.68,2.17,0,0,0,0,42.04,1.01,13.01,0,6.88,0
 96-106,0,0,0,0,1.37,1.82,0,86.56,0,23.27,17.85,0,1.02,1.5,0.92,7.81,7.05,378.62,6.02,2.79,799.27,0,31.96,0,0,13.49,3.8,0,0,0,0,5.76,0,8.05,1.03,12.37,0
108-118,0,0,0,0,6.19,0.89,0.47,101.69,0.71,18.46,24.11,0,13.04,0.58,0,0,0,493.9,5.93,6.88,805.32,0,20.47,0,0,11.08,0.5,0,0.78,0,0,19.03,1.01,9.79,4.14,4.13,0
120,0,0,0,0,31.31,0,0,152.16,1.56,31.6,60.02,0,2.11,0,0,0,0,614.1,28.16,6.34,1481.2,0,59.37,1.25,0,35.8,1.07,0,0,0,0,18.9,2.31,4.83,1.91,6.92,0
