stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.31,20.51,0,13.88,3302.75,345.48,7.35,0,21.16,0,235.34,261.29,1.33,0,3.13,0,0,0,0,454.38,2.22,0,301.22,902.07,552.56,0,9.82,2338.15,0,15.13,1.53,5887.23,91.68,93.17,1827.96,5069.33,0,0,5.38,0,1.92
 24-34,0,0,0,1.32,29.4,6.71,20.87,0,34.14,21.07,148.92,24.25,0,0,0,0,0,0,3.36,232.95,0.74,0,213.84,259.82,40.09,1.35,0,0,0,1.91,0,7.78,15.72,27.64,298.44,1731.71,0,0,13.21,0,0
 36-46,0,0,0,0,9.09,0,6.18,0,11.92,29.59,101.39,4.26,0,0,0,0,0,0,0,228.59,0,6.64,135.08,264.05,16.88,0.6,0,0,0,1.32,0,4.42,2.85,26.86,1.18,2250.14,0,0,8.12,0,0
 48-58,0,0,0,0,1.88,0,54.22,4.71,2.39,41,69.13,5.95,0,0,0,0,0,0,5.86,187.23,0,3.28,105.27,286.66,17.88,1.38,0,0,0,5.03,0,0,3.64,7.63,0,2525.08,0,0,1.86,1,8.87
 60-70,0,0,0,0,0,0,38.85,0,9.16,34.69,37.14,0.83,0,0,0,0,0,0,0,110.94,0,5.94,46.75,153.69,0.77,0,2.45,0,0,1.93,0,1.38,6.9,6.34,0,1591.78,0,0,6.53,3.34,0
 72-82,0,0,0.88,0,6.57,0.57,29.78,0.76,11.01,52.63,63.97,13.42,0,0,0,1.19,0,1.65,0,168.78,0,18.89,71.67,171.89,7.84,0,0,0,1.12,0.59,0,0,2.65,0.53,0,915.89,1.21,3.86,2.86,14.4,0
 84-94,0,0,3.77,0,3.64,0,35.42,1.15,3.1,36.27,89.69,15.93,0,6.65,0,0.73,1.79,0,0,139.09,0,16.21,56.59,125.88,5.57,0,0,0,0,0,0,0,8.12,3.49,0,720.28,0,1.21,3.15,17.04,0
 96-106,0,0,3.15,0,3.71,3.41,21.42,0.73,4.02,45.19,46.83,12.84,0,0,0,0.99,1.32,0,0.68,121.42,0,23.3,54.22,146.06,6.09,0,0,0,3.24,0,0,0,3.7,1.74,0,211.43,0,5.86,11.85,18.1,0
108-118,0,0,11.13,0,7.62,0,0.63,1.6,4.38,28.21,50.6,15.07,0,0.56,0,0,1.71,0,0,118.84,5.01,20.51,40.98,122.37,12.28,1.27,1.01,0,3.84,2.05,0,0,0.85,3.39,0,176.82,0,1.19,6.84,23.07,0.51
120,0,0,0,0,4.37,0,1.83,2.44,8.47,25.17,65.07,34.28,0,2.22,0,0,0,0,0,160.07,0,33.14,26.75,63.38,8.2,0,0,0,0,0,0,0,8.55,2.64,0,105,0,0,0,41.91,0
