stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,76.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0,0
  5-6,0,50.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0
  7-9,10.05,0,3.64,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,25.43,8.81,0,18.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.43,0,0,7.42,0,0,13.79,0,0,0,0,0
 14-21,0,0,0,2.9,0,2.83,0,0,0,0,0,0,0,0,0,0,0.86,3.16,2.86,0,0.97,0,2.04,0,3.01,0.81,0,0,0
 24-34,0,0,0,0,0,1.26,0,0,0,0,0,0,0.9,0,0,0,0,9.06,0,0,0,0,0,0,0,2.53,0,0,1.19
 36-46,0,0,0,0,0,2.8,0.92,0,0,0,0,0,0,0,3.7,0,0,5.74,0,0.9,0,0,0,0,0,4.61,0.92,0,0
 48-58,0,0,0,0.45,0,9.33,0,0,0,0,0.98,0,0,0,3.78,0,0,1.88,0,0,0,6.36,0,0,0,3.12,0,0,0
 60-70,0,0,0,0,1.23,4.93,0.75,0,0,0,0,0,0,0,5.83,0,0,1.82,0,0,0,3.05,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.79,0,0,1.72,0.66,0,0,0,0,3.95,0,0,6.21,0,0,0,0.53,0,0,0,0,0,1.37,0
 84-94,0,0,0,0,9.7,0,0.59,0,2.56,0,0,0.78,0,0,7.68,0,0,8.17,0,0,0,4.7,0,0,0,0,0,0,0
 96-106,0,0,0,0,8.17,6.79,0.84,0,2.05,0,0,0,0,0,4.66,0,0,5.17,4.22,0,0,9.38,0,0.78,0,0,0,0,0
108-118,0,0,0,0,0,0.88,0.75,4.74,2.37,0,1.8,1.46,1.66,0.54,5.43,0,0,6.42,0,0,0,8.76,0,0,0,1.79,1.29,0,0
120,0,0,0,5.84,0,1.93,0,0,15.65,0,0,0,0,0,6.75,2.21,2.16,10.13,0,0,0,11.59,0,0,0,0,4.77,0,0
