stage,fin_mesenchyme,glial,neural,olfactory,paraxial_mesoderm,spinal_cord
  7-9,0,0,0,0,12.36,0
 10-12,0,0,5.4,0,7.66,0
 48-58,0,0,0.52,0.5,0,1.88
 60-70,0.87,0,0.66,0,0,0
 84-94,0,0.8,0,0,0,0
120,0,0,2.49,0,0,1.75
