stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,1.89,1.27,0,0,0,0,1.19,0,0,0,0,0,0,1.84,0,2.4,40.06,5.23,0,0,0,1.01,0,5.45,7.8,0,0,0
 24-34,0,0.61,8.03,0,1.4,0,0,0,0,0,0,1.42,0,4.15,0,1.41,48.83,0,0,0,0.71,0,0.97,0,8.97,0,0,0
 36-46,0,0,31.68,0,3.36,0,0,0,0,0,0,0,0.58,11.49,0,2.49,74.96,0,0,0.82,0,0,0,0,20.98,0,0,2.82
 48-58,0,0,27.97,0,4.23,1.92,0,0,0,0,0,0,0,4.84,0,0,38.62,0,0.91,0,0.47,0,0,0,4.75,0,0,0
 60-70,7.27,0,25.53,0,1.97,0,0,0,0,0,0,0,0,9.08,0,0,27.24,0,0,0,0.83,0,0,0,5.63,0,0.57,0.64
 72-82,0.68,0,8.35,0,0,0,0,0,0,0,0.99,0,0,5.65,1.84,0,12.54,0,0.79,0.61,3.04,0,0.63,0,2.14,0,0.52,0
 84-94,0.57,0,4.66,0.78,0,0.89,0,0,0.75,0,0,0,0,6.14,0,0,21.38,0,3.38,0.92,5.02,0,0,0,0,0,0,1.22
 96-106,0,0,6.14,0,2.37,0.74,0,0.96,0,0.71,0,0,0,4.17,0,0,4.23,2.25,2.19,0,0,0,0,0,0,0,0,1.35
108-118,0.92,0.49,1.99,0,4.51,0.45,0,0,0,0,0.87,0,0.47,4.13,0,0,13.25,0,0,1.78,4.46,0,0,0,0,0,0,1.09
120,15.67,0,23.7,0,0,0,0,0,0,0,0,0,0,10.46,0,2.71,7.5,0,0,0,1.68,0,0,0,0,1.19,0,0
