stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
  3-4,10.87,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0
  7-9,0,0,0,0,0,0,3.31,0,0,0,36.73,5.42,8.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,30.25,0,10.61,0,0,0,0
 14-21,0,6.4,0,0,1.15,0,0,0,0,0.9,5.58,0,0,0,0.85,5.26,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,2.91,0.91
 36-46,0,0.74,1.55,0,0,0,0,6.55,0,0,6.33,0,0,0,0,0,0
 48-58,0,0,0.53,0,0.99,0,0,0.78,0.41,0,3.43,0,0,0,0,0.95,0
 60-70,0,0,7.78,1.47,0,0,0,0,0,0,5.16,0,0,0,0,1.73,0
 72-82,0,0,0,0,0,0.49,0,0,0.85,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0.75,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.79,0,1.53,0,0,0.63,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0,0
