stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16,0,0,9.7,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.29,0,0,0,0,0,0,1.38,2.54,0,0,0,0,7.71,0,0,0,0.88,0,0,2.88,0,1.61,2.88,0,0,8.01,0,0,0,0,0
 24-34,0,184.36,0.66,1.66,0,4.07,5.17,0,2.36,7.1,0,0,0,0,30.13,0,0,41.5,15.74,14.49,0,0,3.12,2.89,0,0.66,0,46.58,13.24,0,1.05,0,0
 36-46,0,176.1,2.92,1.73,0,10.22,27.25,0.64,2.11,7.29,0,0,1.24,0,232.03,0,3.9,74.17,12.59,8.47,0.58,0,8.6,0.59,0,0,4.98,0.58,32.38,0,0,0,0
 48-58,0,96.4,0,15.54,0,21.24,39.1,6.83,5.31,3.73,0.72,0,0,0.51,445.1,0,8.23,119.22,51.68,23.19,6.07,0,2.54,0.53,0,0,0,0,25.1,0,0.42,0,0
 60-70,0,30.07,0,6.59,0,16.96,15.48,0,4,0,0,0,0,2.61,544.83,1.41,10.71,83.82,25.1,0,5.07,0,9.67,0,0,0.68,0.76,0,9.42,0.57,0,0.83,0
 72-82,0,7,0,29.1,0,3.76,28.43,13.3,0,0,0,0,0,0,542.17,0.56,30.94,124.6,33.41,2.68,25,0,5.35,0,0,0,0,0,9.59,5.04,0,4.08,0
 84-94,0,18.85,0,20.57,0,8.68,33.05,12.19,0,2.41,0,0.75,0,0,469.17,0,24.56,74.6,27.82,4.21,15.43,0,6.63,0,0,0,0,0,6.41,1.98,0,14.56,6.4
 96-106,0,13.75,1.27,12.18,2.82,15.22,28.84,0.78,1.9,9.32,0.63,1.08,0,1.03,385.09,0,15.27,53.85,53.33,1.74,51.86,0,2.71,2.85,0,0,0,0,11.71,4.72,1.03,1.79,0
108-118,0,15.84,0,12.48,0.58,3.55,20.03,0,0.51,6.44,0,0,0,0,452.69,0,24.7,59.88,47.6,1.09,27.39,0,4.63,1.5,0,0,0,0,0,6.83,1.69,3.11,3.58
120,0,23.76,0,3.49,0,8.34,17.7,0,1.09,0,3.15,0,4.16,0,520.11,0,30.17,62.37,25.89,2.45,0,0,22.4,1.39,0,0,0,0,0,6.45,6.42,1.45,0
