stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,93.29,1147.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.87,325.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.3,0,7.03,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.57,0,0,4.82,0,0,7.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.06,0,0,0,0,0,0,0,0,1.99,0,0,0,0,0,0,0,0,1.11,7.69,0.98,0,0,0,0,2.17,5.58,0,0.81,0.88,1.11,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,1.82,0,0,0,0,0,9.19,0,0,0,0,0.92,2.22,0,0,0,23.75,0.79,0,0,0,9.88,0,0,0.6,0,0,1.98,0,37.33,0,0
 36-46,0,0,0,0,0.69,0,0,0,0,0,0.83,0,0,30.57,0,0,0,0,0,1.62,0,0,0,65.68,0,0.83,0,0,13.02,0,0,0.7,0,0,6.07,0,4.04,0,0
 48-58,0,0,0,0,0.99,0,0,0.43,0,0.5,0,0,0.82,32.93,0,0,0.4,0,0,2.03,0,0,0.96,25.69,2.74,0,0,0,8.61,0,0,0,0,0,2.72,0,7.82,0,0
 60-70,0,0,0,0,4.83,0,0,9.19,0,0,1.59,0,0,57.19,0,0,0,0,0,5.42,0,0,0,16.6,0,1.78,0,0,29.72,0,0,0,1.58,0,1.14,0,6.17,1.54,3.97
 72-82,0,0,0,0,1.37,0,0,0.67,0,0,10.53,2.77,0.56,58.7,0,0,0,0,0,9.63,0,0,1.27,29.79,0,1.38,0,0,15.44,0,0,0.64,0,0,11.35,0,43.12,0,0
 84-94,0,0,0,0,14.99,0,0,2.08,4.71,0,14.75,3.86,0,97.04,0,0,3.42,0,0,5.12,0,5.05,0,28.8,2.8,3.19,0,0,48.38,0,0,1.73,0,0,0,0.57,23.8,0,0.8
 96-106,0,0,1.07,1.03,11.64,0,0,14.39,0,0,12.94,2.64,1.52,75.6,0.77,0,0,1.45,0,17.64,0,0,0,6.45,7.17,1.72,0,0,41.59,0,0,0,0,0,0,1.62,44.06,0.61,6.78
108-118,0,0,2.95,0,5.4,1.98,0.82,0,0.66,0,3.05,8.98,0,82.91,1.11,0.65,4.89,0,0,5.91,0,0,0,30.48,1.12,6.55,0,0.87,42.26,0.64,0,2.32,0,0,0,7.19,26.3,0.6,0
120,0,0,0,0,15.05,10.8,0,0,1.75,0,13,6.33,0,122.88,1.22,0,1.48,1.23,0,2.84,1.47,0,0,22.77,0,5.66,0,0,40.95,0,0,1.26,0,0,0,0,67.9,0,0
