stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,236.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.67,226.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.04,43.79,0,0,14.88,0,0,0,16.89,0,0,0,0,0,0,208.83,0,0,0,127.8,0,0,0,0,0,0,0
 10-12,0,18.11,17.47,0,0,5.25,0,0,0,0,0,0,0,0,0,0,177.79,0,0,0,73.5,4.94,0,11.47,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0.83,8.44,0,0,0,0,0,0.94,0,0,0,0,0.87
 24-34,0,0,0,0,0,3.81,0.8,0,0,0,0,0,0.68,6.58,0,0,38.15,0,0,0,0,0,0,0,0,6.58,0,1.69
 36-46,0,0,0,0,0,3.95,0,0,0,0,0,0,0,9.13,0,0,44.61,1.29,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,9.66,0,0.55,0,0,0,0,0,1.69,0,0.43,12.64,0,0,0,0,0,0,0,0.94,0.7,0.37,0
 60-70,0,0,0,0,0,18.63,0,1.62,0,0,0,0,0,0.62,4.22,0.6,25.58,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.27,0,0,0,0,0.64,0,0,2.9,0,0.55,14.41,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,9.21,0,0,0.71,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.77,0,0,0,0,0,0,0,1.53,0,0.85,0,0,5.35,0,1.85,0,0,0,0,1.91,0,0,0,0
108-118,0,0,0,0,1.32,1.86,0,1.1,0,0,0,0,0,4.58,0,1.15,0.71,0,0,0.56,0,0,0,0,0,0,0,0
120,0,0,0,0,0,8.92,0,16.48,0,0,0,0,0,1.49,0,0,49.56,0,0,0,0,0,0,0,0,0,0,0
