stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,9.1,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.64,13.94,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,66.08,0,0,34.97,28.46,0,0,0,0,0,0,0,0,0.85,1.97,0,0,11.12,0,0
 24-34,0,0,0,1.34,8.37,4.64,2.41,0,0,5.91,0,0,0,13.92,0,0.7,0,0,1.41,0,401.15,0,0,105.15,104.19,2.36,0,0,0,0,0.76,0,0.6,2.4,3.29,0,0,149.24,0,0
 36-46,0,0,0,0,3.82,0.58,6.54,0,5.32,22.67,25.84,0,0,19.24,0,0,0,0,0,0.77,626.08,0,8.29,103.07,114.02,0,0,0,0,0,0,0,0,0,3.07,0,11.4,137.97,0,9.59
 48-58,0,0,0,0,4.52,4.45,23.78,0,6.58,49.34,11.88,0,2.63,13.47,0,0,4.49,0,0,0,601.02,0,11.61,81.92,101.6,0.5,0,0,0,0.56,0,1.5,0,0,12.3,0,2.36,139.08,0,0
 60-70,0,0,0,0,7.63,2.26,30.18,1.86,9.54,25.68,17.98,0,0,14.53,2.38,0,0,0,1.2,0,1006.68,0,22.24,76.14,81.13,7.41,1.19,0,0,13.83,3.91,0,0,0,7.52,0,15.67,152.97,0.89,0
 72-82,0,0,0,0,6.13,0.5,43.16,0,0,56.77,18.58,0.67,0,16.47,0,0,0,0.74,0,0,1066.3,1.02,54.43,71.51,59.62,0,0,1.35,0,27.96,0,4.44,0,0,11.52,0,28.57,250.28,21.82,2.33
 84-94,5.55,0,0,0,1.48,0,77.12,0,10.84,66.97,14.1,0,0,20,0,1.84,0,0,10.45,9.11,934.34,0,62.13,61.54,72.46,1.43,0,0.72,0,16.75,1.36,0.62,0,0,2.94,0,20.41,197.27,8.25,0
 96-106,0,0,0,0,7.97,9.16,56.47,0.64,2.07,72.28,13.38,0,0,19.76,0.64,0,0.63,0,1.8,0.63,729.72,0,26.82,52.37,96.59,0.57,0.57,0.64,0,41.9,0.82,0.9,0,0,0,1.68,11.14,204.89,5.06,0
108-118,0,0,0,0,2.14,2.72,58.95,0,4.78,44.43,23.39,1.31,0,13.22,1.5,0,0,0,6.61,0,1023.26,1.14,106.76,62.97,86.56,0,0,1.26,0,31.88,0,2.32,0,0,0,0,17.69,197.54,19.35,0
120,0,0,3.29,0,8.86,1.79,49.17,0,0,82.79,20.88,0,0,4.89,3.81,0,0,0,1.05,0,1167.78,0,106.82,78.86,164.17,2.8,0,0,0,119.52,1.67,0,0,0,5.09,0,48.72,588.06,33.13,0
