stage,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,4.55,0,0,0,4.1,8.71,0,0,0,0,0,0,0,0
 10-12,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.96,8.82,0.82,0,0,0,0,1.11,1.11,6.29,0,1.57,0,2.68,2.59,1.15,10.65,0,0
 24-34,0,2.78,0,1.19,0,0,0,0,0,22.8,0,0,0,0,0,0,8.87,0,0.79
 36-46,0,0,0,1.04,0,0,0,0,0,37.76,0,0,0,0,0,0,12.55,0,0.57
 48-58,0,0,0,6.43,0.4,0,0,0,0,57.85,0,0,0,0,0,0,20.11,0,0
 60-70,0,0,0,24.08,0,0,0,0,0,26.57,0,1.23,0.63,0,0,0,13.29,0,0
 72-82,0,0,0,12.47,0,0,0,0,0,21.65,0,0,5.45,0,0,0,5.81,0,0
 84-94,0,0,0,6.58,0,0,0,0.97,0,4.68,0,0,0.85,0,0,0,0.62,0,2.64
 96-106,0,1.25,0,6.31,0,0,0,0,0,6.01,0,0,1.22,0,0,0,0,0.79,0
108-118,0,0,0,4.47,0,0,0,0,0,21.63,0,0,8.78,0,0,0,2.9,2.75,0.57
120,0,0,0,2.1,0,0,1.69,0,0,10.78,0,0,8.85,0,0,0,0,8.85,0
