stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,32.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.75,9.06,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.31,0,0,0,15.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1052.82,16.15,0,0,21.79,0,0,0,12.13,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,2.77,0,3.99,0,0,0,19.05,0,0,0,0,0,0,0,0,1.02,0,0,2.62,480.81,0,0,3.27,0,0,0.91,0.94,0,0,0.99,183.71,0,0,0,0,0
 24-34,0,0,0,6.7,0,46.95,0,0,0,61.27,0,0,0,0,0,0,0,0,5.07,0,0,0.67,1021.42,0,0,2.76,0,0.59,0,0,0,0,0.72,218.17,0,0,0,0,0
 36-46,0,0,0,1,0,73.5,0,0,1.25,114.9,0,0,0,0,3.64,0,0,0.61,4.84,0,0,2.04,979.77,0,1.82,1.14,0,0,0,0,0,0,0,168.79,0,0,0,0,0
 48-58,0,0,0,5.97,0,88.38,0,1.9,0,152.39,0,0,0,0,0,0,0,0,13.03,0,0,1.3,708.71,0,1.78,4.32,0,4.18,0,0,0,0,0,119.78,0,0,3.12,0,0
 60-70,0,0,0,4.57,0,105.19,0,0,0,224.31,0,0,2.96,0,0,0,0,0,18.98,3.18,9.63,1.48,566.39,0.66,0,6.13,0,1.07,0,0,0,0,0,69.15,0,0,0,0,0
 72-82,0,0,0,4.87,5.7,89.41,3.28,0,0,350.03,0,0,0,0,0,2.55,0,0,18.49,0,0,0.71,594.12,0,0,8.65,0,2.04,0,0,0,0,0,45.5,0,0,0.65,0.85,6.57
 84-94,0,0,0,3.7,0,123.29,0,0,0,240.49,2.81,0,0,0,0,0,0,0,33.39,0,0,2.43,465.37,0,0,11.59,0,0,0,0,0,0,0,78.66,0,0,1.18,0,0
 96-106,0,0,0,8.51,8.84,103.16,0,0,0,337.98,0,0,0.62,0.63,0.72,0.75,0,0,24.24,0,0,0.8,391.96,0,0,20.87,0,8.31,0,0,0,0,0,90.1,1.22,0,7.36,0,1.22
108-118,0,0,0,1.78,0,135.08,0.56,0,2.43,358.64,0,0,0.53,0.84,0,0.43,0.67,0,22.53,0,0,0,574.91,0,1.02,45.54,0,0,0,0,0,0.66,0,68.49,0,1.33,1,0,0
120,1.19,0,8.64,12.71,0,160.02,1.1,0,0,557.28,0,4.47,0,0,0,0,3.92,0,36.66,0,0,0,1043.05,0,0,29.54,0,0,0,0,0,0,0,123.42,0,0,0,0,0
