stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.32,33.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,11.25,0,0,11.7,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,11.74,5.54,2.24,2.49,0,0,0,0,13.21,0,0,0,0,0,0,0,0,0,13.4,0,0,19.35,0,0,0,25.2,0.83,1.48,0,0,0,0
 24-34,0,0,0,6.13,4.52,0,1.33,0,1.11,0,1.67,25.1,1.84,0,0.85,1.92,0,6.1,6.22,0,0,28.06,0,0,12.95,0,0,13.61,23.6,0,2.76,0,3.63,0,1.49
 36-46,0,0,0,0.72,0.64,0,23.52,0,0,0,4.12,1.65,0,0,0,0,0,2.32,3.09,0,0,10.09,0,1.13,14.48,0,0,2.22,8.87,0,2.56,0,0.72,0,1.57
 48-58,0,0,0,0,0,0,94.86,0,0.44,2.22,1.57,0,0.59,0.47,0,0,0,0.71,9.62,0,0.9,13.02,3.9,1.15,9.59,0,0,0,26.01,0,3.91,0,0,0,0
 60-70,0,0,0,0,0,0,122.4,0,0,0,15.77,1.7,0,0,0,0.66,0,0,7.26,0,0,7.2,0,0,4.15,0,0,1.76,6.49,0,0,0,1.82,0,0
 72-82,0,0,0,2.27,2.21,0,66,0,1.99,0,0.56,19.07,1.16,0,2.65,0,0.89,0,10.74,0,0,1.84,0.61,0.53,5.85,0,0,0,7.43,0,4.26,0,2.49,0,0
 84-94,0,0,0,2.84,4.24,0,83.55,0,0,0,0.73,30.59,0,1.61,0,0,1.23,0,1.6,0,1.1,1.41,0,0,10.64,0,0,0.78,16.85,0,2.89,0,0,0,0
 96-106,0,0,2.48,11.23,0,0,45.17,0,0.9,0,3.62,74.97,0,0,0,0,3.6,0.65,21.91,0.71,0,9.43,0,1.76,8.98,0,0,2.5,24,0,1.34,0,11.98,0,0
108-118,0,0,1.03,12.17,0.47,1.96,35.29,4.79,0,0,0,148.98,0,1.73,1.3,0,12.38,0,8.27,0,0.56,14.56,0,0,11.04,0,0,1.61,29.35,0,0,0.54,4.07,1.03,4.24
120,0,0,0,3.57,1.34,1.14,19.24,0,0,0,5.9,125.9,0,0,0,0,5.44,0,0,0,0,0,0,0,2.8,0,10.01,0,53.52,0,0,0,1.31,0,0
