stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste
  3-4,35.61,851.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.53,0,0,0,0
  5-6,25.2,621.68,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,19.34,12.96,0,25.4,0,0,0,0,0,0,0,0,91.4,0,25.1,3.26,0,0,0,0
 10-12,0,10.12,8.95,0,0,0,0,0,0,0,0,0,0,94.26,0,27.44,0,0,3.53,0,0
 14-21,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,16.64,1.71,0,0,0
 24-34,0,0,0,0.68,0,0,0,0,0,0,0,0.62,0,3.61,0,0,6.5,0,0,0,0
 36-46,0,0,0,8.1,0,0,0,0,0,0,0,0,0,7.33,0,0,13.32,0,0,0,0
 48-58,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0.6,2.85,0,20.69,0,0,0.83,0
 60-70,0,0,0,0.7,7.55,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0
 72-82,0,0,0,2.06,4.05,1.99,0,0,0,0,0,2.4,0.61,1.24,0,0,21.39,0,0,0,3.98
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.19,0,1.04,0,0,52.25,0,0,0,0
 96-106,0,0,0,11.54,0.72,1.88,0,1.02,0,0,0,2.44,0,1.62,2.11,0,65.09,0,0,0,0
108-118,0,0,0,4.25,1.9,0,3.58,1.1,0,3.04,0.83,0,0,0,0,0,59.21,0,0,0,0
120,0,0,0,6.67,5.2,1.77,0,0,0,1.06,0,5.58,0,9.58,0,0,44.98,0,0,0,0
