stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,321.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.06,0,0,0,0,0,0,0,0,0
  5-6,43.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.44,13.41,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.43,3.96,0,0,30.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.95,15.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.11,0,0,0,64.59,0,0,9.06,0,7.81,0,6.57,0,0,0,0
 14-21,0,0,22.35,1.18,0,0,0,0,0.89,0,0,0,0,0,0,0.9,0,0,1.03,8.6,0,0,0,0,0,0,0,2.23,0,0,9.48,0,0,0,0
 24-34,0,0,12.13,0,1.96,0,0,1.24,2.89,3.77,0,0,0,0,0,28.52,0,0.89,9.41,36.59,0,3.24,4.32,0,6.8,0,0,0,0,0,4.34,0,0,0,0
 36-46,0,0,4.37,0,6.42,0,0,0,2.14,2.55,0.72,0,0,0.75,0,133.84,0,8.4,12.73,49.37,0,1.19,3.6,0,0,0,0,0,23.71,0,11.85,0,3.13,0.64,0
 48-58,0,0,0.83,0,4.42,0,9.12,0,7.01,0,0,0,0,0.44,7.53,384.64,1.07,24.91,4.56,118.39,0.55,6.56,10.93,0,0,0,0,0,0,3.46,11.08,0,0.4,0,0
 60-70,0,0,1.9,0,10.29,0,0,0.68,9.75,1.86,0,0.66,0,0,1.2,659.25,0,54.68,2.78,33.34,7.98,1.11,6.89,0,7.46,2.06,0,0,0,0,8.96,0,5.85,0,8.15
 72-82,0,0,9.85,0.52,26.96,0,2.36,8.75,4.95,0,4.79,0,0,0,0,474.75,0,68.31,22.77,36.21,1.59,2.94,6.14,0,15.83,0.85,0,0,3.55,0,19.68,0,23.76,1,0.92
 84-94,0,0,5.25,0,29.51,0,0,0,11.93,0,0.78,0,0.89,1.71,0,368.5,2.28,82.8,2.98,26.48,1.8,0.6,11.04,0,4.07,0,0,0,0.93,0,4.44,0,9.6,0.78,8.07
 96-106,0,0,10.4,0,5.2,0,0,0,30.94,1.34,0,0.65,0,0,0,234.05,0,45.04,1.9,43.54,0,1.87,8.54,0,15.73,0.57,0,0,0,0,10.19,1.68,6.83,0,1.91
108-118,0,0,0,0,15.32,0,0,0,7.68,0.43,3.43,0.75,0,3.75,0.6,311.96,0,65.21,0,38.47,0.45,0.9,3.14,0,13.96,0.97,0,0,0.43,0,0.42,0,3.84,0,7.54
120,0,0,0,3.49,30.82,1.04,1.05,0,1.76,0,5.93,0,0,0,3.69,291.07,0,44.54,0,130.74,0,4.34,2.11,0,25.76,0,0,0,0,0,0,0,12.34,2.75,4.95
