stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0.94,0,0.82,0,0,0,0,0
 24-34,0,2.76,0,0,0.75,0,0,0,0,0,0,0,0,22.7,0,0.64,0,0,0,0.89,5.4,29.76,9.72,0,0.99,0,0,0,0,2.15,0,0
 36-46,0,0,0,0,0.59,0,0,0,1.28,0,0,0,0,19.83,0,3.4,0,0,0.92,3.46,0,5.47,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,18.36,0,0,0,4.69,0,0,0,0,67.84,0,5.31,0,0,4.82,15.83,0,11.27,14.62,0,0,0,0.53,0,0,0,0,0
 60-70,0,0.64,0,0,21.98,0,0,0,13.94,0,0,0,0,353.67,0,6.42,0,3.05,0.72,14.07,2,2.29,61.36,0,0.65,0,3.43,0,0,0,7.71,3.21
 72-82,0,33.31,0.81,1.16,22.77,0,0.78,0,31.14,9.59,0,0.66,3.11,861.14,0.54,343.2,0.78,6.95,2.87,119.77,0,6.29,86.74,0,1.97,0.53,4.42,1.36,4.92,0,25.92,4.49
 84-94,0,0.97,1.82,0,40.68,0,1.22,0,11.8,5.19,1.16,0,0,2385.61,1.57,216.3,0,8.18,5.77,70.15,0,20.05,43.81,0,7.48,0,5.17,1.45,1.08,0.84,51.18,0
 96-106,0.95,16.2,36.4,47.53,72.03,0.64,3.78,4,23.78,9.58,2.04,0,0,2949.57,3.17,130.54,0,5.85,6.15,164.34,3.65,18.6,45.32,1.37,29.8,0,13.74,3.65,11.91,10.09,27.09,1.69
108-118,0,7.01,10.38,0,46.95,0.54,4.49,0,25.65,1.71,0.76,3.86,0,3547.51,1.89,119.45,0,0,1.27,114.91,2.74,19.78,125.41,1.91,13.54,0,7.66,0.97,4.48,7.31,33.25,2.22
120,0,19.08,17.13,0,22.6,0,1.49,0,12.43,6.43,6.93,0,1.01,2957.89,0,42.94,0,0,0,169.71,0,10.98,131.42,12.35,3.19,0,2.14,0,0,1.14,21.32,0
