stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,213.54,4033.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.28,0,0,0,0,0,0,0,0,0
  5-6,159.83,3449.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.33,23.37,0,0,35.54,51.9,0,0,0,0,0,0,0,0,0
  7-9,85.19,181.94,0,120.82,0,0,728.25,0,0,0,0,0,148.83,0,0,0,0,0,0,0,0,0,0,5100.47,64.68,0,0,1759.39,0,31.07,0,12.75,0,0,0,0,0,0
 10-12,0,245.82,0,266.15,0,39.81,602.1,0,0,0,0,0,60.6,0,0,0,0,0,0,0,0,0,0,5943.24,66.29,0,0,2268.07,4.52,3.78,18.73,284.77,10.82,16.3,0,0,0,0
 14-21,0,0,1.38,12.38,62.37,25.55,121.21,0,0,0,15.52,1.29,0,0,0,0.87,0,0,0,0,66.15,0,40.28,1205.75,2.75,0,4.63,31.13,7.73,0,64.42,2.38,89.54,323.35,0,5.51,0,0
 24-34,0,0,0,2.75,17.32,1.78,285.43,0,0,0,30.3,4.39,0,2.42,1.37,6.26,1.05,2.22,1.26,0,106.39,0.81,49.93,1569.33,10.02,3.24,6.24,0,16.48,0,0,0,9.49,253.61,0,23.82,0,0.67
 36-46,0,0,0,0.56,7.08,1.5,302.88,0,0.74,0,53.84,1.75,0,0,2.77,0.57,0,0,2.78,0,72.96,3.6,13.44,749.67,0,0,5.2,0,3,0.81,0,1.27,0,141.84,0,2.21,0,3.12
 48-58,0,0,0,0.5,9.24,1.3,254.86,0,19.52,1.4,40.84,2.98,0,3.3,0,0.97,15.07,0.96,3.08,0,87.45,3.62,25.03,431.91,5.17,2.55,0.4,0,8.2,0,0,0,0,52.81,0,10.66,0,1.61
 60-70,0,0,0,0,24.84,0,151.28,3.7,1.87,0.62,62.72,0.62,0,0,0.64,0,0,1.57,1.45,0,65.32,11.74,10.8,311.58,0.87,0,5.33,0,4.1,0,0,0,0,37.5,0,12.02,0,10.66
 72-82,0,0,0,0,18.2,4.28,84.91,0,0,2.12,33.69,2.71,0,0,4.14,0,0,0.81,1.95,0,65.54,1.07,5.54,237.48,0,2.81,0,0,0,0,0,0,0,11.25,0.54,5.26,0.79,0
 84-94,0,0,0,1.01,13.39,1.94,68.9,0,0,1.55,34.78,5.16,0,0,5.42,0.91,1.5,2.35,1.22,7.32,76.7,13.36,23.11,168.28,2.19,2.34,0.67,0,3.43,0,0,0,0,5.59,0,14,0,0
 96-106,0,0,0,0,11.85,4.03,70.95,0,0,0,40.85,1.95,0,1.31,4.02,1.47,0,0,0,0,40.06,0,4.31,194.29,0,0.57,2.87,0,2.52,0,0,0.67,0,14.36,0,9.38,0,0
108-118,0,0,4.12,0,22.15,1.97,72.33,0,0.52,4.29,46.29,0,0,0,3.01,0,1.54,0,2.18,0,68.24,1.59,9.65,250.44,3.87,0.46,7.46,0,5.82,0,0,0,0,2.77,0,19.97,0,0
120,0,0,0,0,31.28,1.11,78.31,0,0,4.78,77.81,3.51,0,1.15,18.26,0,0,0,1.89,0,40.22,0,11.62,301.73,0,0,1.86,0,0,1.53,0,0,0,1.57,0,10.25,7.35,0
