stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,periderm,spinal.cord,taste
  5-6,6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,1.45,0,0,1.4,0,0,1.17,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.61,0,0.62,2.87,0,0,0,0,0,0,0,12.48,0,1.81,0,0
 48-58,0,0,0,0,0.38,0,0,4.29,0,0.51,0,0,0,0,0,7.15,0,11.75,1.73,0
 60-70,0,0.57,0,0,14.05,0,0,5.43,0,0,0,1.16,6.2,0,1.43,23.51,1.15,12.48,0.67,0
 72-82,0,0,0,0,59.21,0,0,5.35,0,0,0,0,0,0.57,0,16.07,0,2.11,0,0
 84-94,0,0,0,0,99.31,0,0,2.29,0,0,0,0,0,0,0,2.1,0,9.4,1.67,3.85
 96-106,0,0,2.86,1.9,76.38,0,0,7.43,1.62,0,0,0,0,0,0,12.45,0,2.2,0,0
108-118,0,0,1.68,0,106.75,0,0,7.09,0.62,0,0,0,0.57,0,0,34.54,0,6.12,2.94,10.23
120,0,0,11.17,0,76.66,4.86,0,10.33,0,0,0,0,0,10.08,0,50.13,0,15.33,0,2.83
