stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  5-6,35.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0
  7-9,8.9,0,5.33,0,0,14.12,0,0,0,0,0,0,0,0,0,48.96,0,0,0,12.77,0,0,0,0,0,0
 10-12,0,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,116.5,0,0,0,5.25,0,0,0,0,0,0
 14-21,0,0,1.49,0,0,0,0,0,0,0,0,0,0,0,2.98,8.86,0,0,0,0,0,0.87,2.72,9.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,64.45,0,0,0,0,0,0,0,18.33,0,0
 36-46,0,0,0,0.65,0,1.14,0.66,0,0,0,0,0.78,0,3.23,0,93.87,0,1.8,0,0,0,0,0,26.17,0,0
 48-58,0,0,0,5.93,0,14.67,0,0,7.48,0,0,0,9.42,4.65,2.99,203.57,0.62,5.24,0,0,0,0,0,30.35,0,0
 60-70,0,0,0,0,0,105.26,0.68,0,19.53,0,0,0,0,6.62,0,652.74,0,3.28,0,0,3.31,0,0,63.28,0,0
 72-82,0,1.37,0,0,0,41.72,0.76,0,2.2,0,0,0,0,8.16,0.54,315.31,0,0,0,0,1.73,0,0,30.29,0.8,0
 84-94,0,0,0,0.56,0,18.6,0,0,0.7,0.84,0,0,0,6.29,0,139.27,0,1.95,0,0,0,0,0,11.54,0,0.93
 96-106,0,0,0,0.89,0,23.25,1.95,11,1.16,0,0,0,0,1.22,2.74,108.56,0,0.59,0,0,0,0,0,0,0,0
108-118,0,0,0,1.04,0.46,26.71,0,0,0.74,0,0.74,0,0,19.08,3.03,135.49,0,1.66,0,0,0,0,0,6.45,0,0
120,0,2.94,0,1.69,1.53,59.78,1.99,0,3.88,0,0,0,0,8.08,0,570.74,0,3.09,14.75,0,0,0,0,12.59,0,0
