stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,26.94,0,0,0,0,0,0,16.49,0,0,0,0,0
 24-34,0,2.69,1.04,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,3.49,425.8,0,2.43,0,0,0,0,127.41,0,0,0,0,0
 36-46,0,2.24,0,0,21.47,0,0,0,5.8,0,0,0,0,0,0,0,1.52,0,0,3.75,805.15,0,0.94,0,0,0,0,148.39,0,0,0,0,0
 48-58,0,0,10.27,0,131.24,0,0,0,3.49,0,0,0,0,0,0,0,3.97,0.7,0,2.63,945.96,0.56,2.81,0.44,0,5.85,0,175.74,0,0,0.96,0,0
 60-70,0,0,4.35,0,450.59,0,0,0,7.5,0,0,0,0,0,0,0,4.52,0,0,0.7,1324.43,0,0.89,0,0,2.39,0,222.14,0,0,3.19,0,0
 72-82,0,1.06,1.02,0.52,895.39,0,0,0,38.14,0.65,0,3.68,0,0,1.28,0,18.81,0,0,7.74,1424.49,0,5.19,0,0,0,0,107.71,0,0,3.52,2.12,3.55
 84-94,0,0,5.06,0,619.37,0,0,0,23.87,0.59,0,0.84,0,0.55,0,0,15.49,0,0,0,1000.79,0,12.68,0,0,0.69,0.59,111.64,0.71,0.84,0,7.47,0
 96-106,0,0,3.71,1.5,678.18,0,0,0.71,23.07,0,0,0,0,0,0.84,0,7.73,0,0.69,6,587.02,0,9.44,0,0,1.81,0,32.66,0,0,5.62,11.61,12.16
108-118,0,0.62,5.67,2.36,683.17,2.6,2.37,4.02,30,0.43,0,0.88,0.91,0,0,0,14.55,0,0,0,864.23,0,8.76,0,0,5.51,0.55,43.56,0.68,0,5.98,4.94,0
120,0,0,3.32,0,724.41,0,2.43,0,35.95,0,0,0,0,3.86,0,18.25,5.46,0,0,7.2,1695.49,6.07,8.44,0,39.68,1.07,0,69.99,0,0,4.04,9.41,0
