stage,axial,blastomeres,epidermis,eye,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,17.22,176.27,0,0,0,0,0,0,0,0,22.5,0,0
  5-6,9.58,256.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.07,0,0,47.44,0,0,5.11,0,0,0
 10-12,0,0,0,0,0,0,0,3.88,0,4.83,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 24-34,0,0,0.74,0,3.29,0,8.7,0,0,0,0,1.67,2.34
 36-46,0,0,0,0,0,0,22.34,0,1.12,0,0,0,0
 48-58,0,0,0,0.78,0,0,10.79,0,0,0,0,1.77,0.43
 60-70,0,0,0,0,0,1.02,13.46,0,0,0,0,0,0
 72-82,0,0,0,0,0.92,0.62,10.23,0,0,0,0,0,0
 84-94,0,0,0,1.61,0,0,11.04,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,11.94,0,0,0,0,0,0
108-118,0,0,0,5.15,0,0,6.69,0,0,0,0,0,0
120,0,0,0,0,0,0,12.73,0,0,0,0,0,0
