stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.23,691.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.75,1257.4,0,0,0,0,0,0,0,0,0,0,0,36.88,0,0,0,0,0,0,0,0,0,0,0,145.67,0,0,0,30.13,18.25,0,0,0,0,0,0,0,0,0,0
  7-9,10.57,58.89,0,35.51,0,5.98,0,69.38,0,0,0,0,0,16.33,0,0,0,0,0,0,0,0,0,0,0,573.21,24.04,0,0,137.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.16,0,23.48,0,12.62,0,50.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.21,0,0,0,135.31,0,0,17.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,16.84,34.02,0,179.68,0,0,0,1.92,0,0,0,0,0,0,0,0,0,7.88,0,0,1.77,752.85,1.28,0,0,3.22,0,24.95,0,0,4.67,36.29,0,0,19.94,0,0
 24-34,0,0,0,0.62,10.02,7.07,0,5275.27,0,1.55,1.94,3.25,0.74,0,0,5.66,1.32,0,0.97,0,0,20.95,0,0,27.59,442.78,2.13,1.71,4.03,0,26.29,0.76,2.3,0,4.55,74.04,0,0,87.21,0,0.72
 36-46,0,0,0,0,7.28,7.83,0,11515.21,1.42,0,1.09,19.73,0,0,0,0,0.91,6.01,0.72,0.83,4.05,44.34,0,0,8.88,465.78,3.64,2.23,0,0,18.86,0,0,0,0,95.72,0,0,29.5,0,21.66
 48-58,0,0,0,0,2.18,0,0,7633.19,1.76,0,2.37,24.43,0,0,0.88,1.94,0.52,0,0,6.58,0,48.87,0,0.5,2.51,306.88,13.41,0,0,0,16.1,0,0.42,0,0,58.98,0,0,18.98,0,3.29
 60-70,0,0,0,0,2.88,0,0,8925.34,0,8.99,1.14,7.7,0,0,0,3.24,0,1.98,0.67,0,0,31.69,0,12.12,1.56,206.6,0,1.22,0,0,23.39,0,0,1.41,0,48.78,0,0.73,15.54,0,8.82
 72-82,0,0,1.15,0,1.48,2.14,3.14,6833.7,0,0,2.21,10.57,0,0,0,1.33,0.66,3.94,0,7.16,0,64.72,0,0.78,0,135.81,0,1.02,1.28,0,9.22,0,0,0,0,10.25,2.01,4.38,7,1.24,2.99
 84-94,0,0,0,0,2.02,3.8,0,7312.4,0,0,0,7.67,2.57,0,1.97,2.18,1.69,0.7,0,1.74,0,29.22,0,0,0,101.69,0,1.31,2.41,0,4.59,0,0,0,0,8.28,0,3.39,13.25,0,2.28
 96-106,0,0,0,0,4.55,28.17,33.2,4937.01,0,0,0,9.32,1.06,0,0.97,0.83,0,0,0,9.58,0,51.28,0,0,6.95,41.52,0,0,0.57,0,3.61,0,0,0,0,0,0.67,0.58,3.95,0.81,17.86
108-118,0,0,2.52,0,10.9,6.36,7.71,6501.75,0,3.69,0,31.28,4.62,0,0,7.91,0,0.99,0,0,0,81.54,0,1.05,5.03,177.72,0,0.7,4.75,0,21.01,0,1.48,0.43,0,5.62,0,2.27,11.83,2.72,2.31
120,0,0,0,0,7.69,0,0,4691.59,0,3.21,1.67,19.91,3.02,0,0,5.58,0,1.01,0,3.23,0,86.79,9.06,0,2.22,159.32,2.24,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0
