stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.09,3.27,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,2.59,0,0,0,25.3,0,0,0,0.89,0,4.68,2.5,0,1.21,4.93,0,0,0,0,0
 24-34,0,0.62,0.69,0,4.26,0,0,0,0,0,0,0,0,0,0,0.72,0,0,9.67,0,0,3.55,47.13,0,0,0.69,0,0,7.07,0,0,1.14,4.55,0,0,0.81,0,0
 36-46,0,8.15,0,0,6.06,0,0,0,1.04,0,0,0,0,0,0,0,0,0,3.21,0,0,0,41.04,1.77,1.4,0,0,0,4.33,0,0,0,5.04,0,0,0,0,0
 48-58,0,1.4,0,0,14.48,0,0,0,5.69,0,0,0,0,0,4,0,0,0,2.24,0,0,1.06,43.14,0,0,0.74,0,0,0,0,2.28,0,4.28,0,0,2.13,0,6.27
 60-70,0,0,0,0,17.06,3.11,0,0,8.31,3.6,0,0,0,0.59,0,0,0,0,11.55,0,0.93,0,25.68,1.87,0,0,0,0,0.83,0,0.76,0,4.38,0,0,1.49,0,0
 72-82,0,0.68,0.98,0,22,0,0,1.2,8.31,0,0.59,0,0,0,0,0,0,0,13.29,0.75,0,0,31.79,0,1.11,0,0,0,2.76,0,0,0,1.29,0.56,0,0.93,0,2.27
 84-94,0,0.71,0,0,15.55,0,0,1.27,0,0.67,0,0,4.48,0,0,0,0.58,0,2.49,0,3.37,0,21.25,0,0,0,0,0,8.92,0,0.64,0,8.4,0,0,0,0,0
 96-106,0,2.64,2.02,1.07,6.86,0,0.91,0,12.4,2.8,0,0.96,0.66,0,0,0,0,0.57,1.26,0.69,0,0,26.5,0,2.97,1.23,0,0.87,12.14,0,0,0,0,0,1.27,1.07,0.81,0
108-118,0,5.15,0.77,0,12.36,0,0,0,3.26,0.62,0,0,1.03,0,0,0,0,0,2.03,0,0,0.92,39.33,0,0.59,0.65,0,0,3.41,0,0,0,0,0,0,0,0,0
120,0,0,3.79,0,21.93,0,0,0,12.25,0,0,0,0,0,0,0,0,0,13.76,0,0,1.1,51.48,10.25,0,0,0,0,14.23,0,0,0,15.67,0,0,13.05,6.37,0
