stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,62.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,44.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,61.03,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.8,0,0,6.22,0,0,0,5.54,0,0,0,0,0,0,0,67.71,750.53,0,10.33,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.24,1.97,0.87,0,0,0,0.86,0,0,0,0,3.75,0,2.3,7.93,1423.45,0,0,0,0.89,1.68,1.45,8.86,0,0,0,6.88
 24-34,0,0,0,3.38,0,21.85,0,0,0,0,0,0.86,0,24.56,7.35,0,15.5,16.74,107.59,0,0,0,0.72,0,0,3.27,0,1.9,0,54.85
 36-46,0,0,0,1.91,0,28.68,0,0,0,0,0.56,0,0,94.62,22.61,0,2.02,24.85,86.91,0,0,2.85,2.74,0,0,1.67,0,0,0,142.39
 48-58,0,0,0,3.41,0,19.97,0,0.86,0,0,4.48,0,0,74.69,16.72,1.23,1.13,32.92,29.99,0,0,0,5.81,1.43,0,3.03,0,0.74,0,145.03
 60-70,0,0,0,0,0,85.83,0,5.33,0,0,35.61,0,0,74.74,18.99,0,3.58,18.78,38.7,0,0,0,0,2.66,0,0,0,9.66,0,120.37
 72-82,0,0,0,0,0,71.63,0,9.1,0,0,33.28,0,0,48.99,40.7,0,7.56,21.83,18.27,1.26,0,0,0,0,0,3.77,0,0.83,0,96.67
 84-94,0,0,0,1.54,0,166.43,0,7.62,0,0,34.66,0,9.8,73.4,30.59,3.13,1.3,30.4,30.26,1.76,0,0,1.21,2.32,0,0,0,9.27,2.45,108.79
 96-106,0,0,0,0,10.84,173.34,0,12.93,0,0,15.19,0,0.97,32.55,39.86,1.43,1.28,23.73,15.04,0.56,0,2.64,3.35,0.56,0,1.71,1.27,1.7,0,58.54
108-118,3.02,0,0,3.27,0,186.26,0.51,16.91,0.68,0,57.44,0,0,43.86,34.24,0.57,0.76,14.75,15.26,6.22,0,12.01,2.88,0.44,0,5.36,0,0.44,0,97.05
120,0,0,0,3.26,0,77.27,0,0,0,0,28.21,0,0,18.11,17.57,0,7.35,45.38,23.03,1.76,0,0,0,0,0,5.77,0,0,0,36.05
