stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,387.04,6560.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.12,0,0,0,0,0,0,0,0,0
  5-6,314.61,5349.41,0,0,0,0,0,0,0,0,0,53.46,0,0,0,0,0,0,0,0,0,0,0,186.25,7.03,0,0,34.34,54.53,0,0,0,0,0,0,0,0,0
  7-9,35.16,24.33,0,3.86,0,0,26.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.76,75.01,0,0,91.61,0,23.91,0,0,0,0,0,0,0,0
 10-12,3.8,0,0,5.43,0,0,4.39,0,0,0,0,13.85,0,0,0,0,0,0,0,0,0,0,0,12.51,375.89,0,0,6.34,0,21.77,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.94,0,0,9.39,0.85,0,0,0,0,0,0,0,0,0.84,0,0,0,30.47,220.01,0,0,0,0,3.08,1.26,0.9,0,0,112.76,0,0,0
 24-34,0,0,1.37,0,0,0,0,0,0,6.24,0,0,1.94,0,0,0,0,0,0,0,0,0,0,26.42,21.04,1.33,0,0,0,0,0,1.58,0,0.65,94.21,0,0.85,0
 36-46,0,0,0,0,0,0,0,0,0.82,0,0,0,0,3.12,0,0,0,0,0,2.73,0,0,0,31.27,1.74,8.3,0,0,0,4.2,0,3.33,0,0,73.3,0,0,0
 48-58,0,0,0,0,0.4,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,4.05,0.41,0,0,49.52,2.19,0.78,0,0,2.85,0,0,1.23,0,0,36.04,0,1.79,0
 60-70,0,0,0,0,0.71,0,21.46,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.35,4.78,5.36,1.82,0,0,0,0,0,0,0,8.58,5.13,0,0
 72-82,0,0,0,0,1.32,0,35.76,0,0,3.93,0,0,0,0,0,0.76,0,0,5.42,4.27,2.11,0,0,60.37,1.26,0,0,0,0.53,0,0,4.62,0,0,26.54,5.33,0,3.5
 84-94,0,0,0,0,5.96,0.71,8.75,0,10.93,1.27,0,0,0,0.78,0,0,0,0,0,11.19,2.02,0.98,0,25.13,1.94,0.93,0,0,0,0,0,6.71,0.81,0,8.29,9.22,0,11.09
 96-106,0,0,0,0,4.81,0,19.14,0,1.24,3.06,0,0,0,0.96,1.05,0,2.09,3.07,0,11.94,0,0,0,25.82,5.51,0.71,0,0,0.8,2.24,0,5.47,0.84,0,21.86,9.69,0.91,8.61
108-118,0,0,0,3.68,0.45,0,31.06,1.37,7.48,0,0,0,0,0.78,0,0.56,0,0,0,10.77,0,0,0,52.04,2.77,0,0,0,0,2.28,0,6.85,0,0,13.86,11.94,0,8.2
120,0,0,0,0,9.82,0,12.85,0,5.21,0,0,0,0,0,0,8.53,0,0,0,6.79,0,0,2.2,126.11,6.26,0,14.64,0,1.33,1.53,0,7.35,0,0,21.01,16.52,0,0
