stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,106.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
  5-6,68.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,43.72,0,3.81,0,0,11,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,7.99,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,8.58,5.18,1.61,1.13,0,0,0,0,6.46,0,0,0,1.99,1.01,0,0,0,8.99,0,0,0,1,0,12.18,1.31,4.46,0,0,0,0
 24-34,0,0,7.04,0,0,0.82,0,0,0,2.61,8.51,0,0,0,16.97,0,0,0,0,8.77,0,0,0,0,0,12.71,0,4.43,0,0,0,0
 36-46,0,0,4.48,0,0,0,0,0,0,0,2.39,0,12.86,0,0,1.27,0,0,0,6.33,0,0,0,0,0,4.21,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,3.29,0,0,0,0.39,11.47,0,0,0,0,0,1.65,0,0,0,0,0,0
 60-70,0,0,0,0,0,3.37,0,0,0,1.12,2.34,0,1.02,0,0,2.61,0,0,1.76,8.14,0,0,0,1.52,0,1.19,0,0,0,0,0,0
 72-82,0,1.08,0,0,0,6.78,0,0,0,0,29.88,0,1.38,0,0,9.02,0,3.82,1.26,21.59,0,0,0,0,0,23.11,0,1.35,0,0,0.77,4.56
 84-94,0,1.15,0,0,0,8.32,0,0,0,1.14,39.94,0,3.22,0,0,13.82,0,4.05,1.61,4.59,0,0,0,0.57,0,19.51,0,0,0,0,0,0
 96-106,0,0,1.03,0.65,0,4.05,0,0,0,0,43.39,1,3.72,0,8.27,5.03,0,6.68,0,11.74,0,0,0,1.05,0,14.86,0,0.67,0,5.44,0,0
108-118,0,0,0.49,0.91,0,0,0.49,0,3.08,0,85.07,1.36,6,0.87,2.05,2.49,1.06,0,0,15.33,0.47,0,0,1.41,0,18.87,0,0,0.54,1.62,1.07,0
120,0,0,6.07,3.39,3.68,16.7,0,1.13,0,0,184.03,2.01,2.51,0,3.35,23.44,0,10.79,0,18.22,0,0,18.35,11.29,0,27.37,0,0,0,0,0,0
