stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,15.2,0,5.09,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,0,0,0,17.97,0,0,0,4.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,10.95,1.41,0,1.9,0,0,0,0,0,0,0,0,56.31,0,0,0,0,3.02,0,0,6.12,39.8,0,0,0,0,0,14.03,0,16.26,9.8,92.3,150.14,13.69,0,0,0,0,0
 24-34,0,0,26.05,2.61,0,12.72,60.45,0,0,8.2,0,6.5,0,0,82.45,0,1.35,0,0,6.07,4.31,0,29.01,107.74,0.77,9.07,4.4,0,0,62.22,0,0,8.93,61.75,83.72,55.93,0,0,0,0,0
 36-46,0,0,36.5,0,0,13.44,148.04,6.76,2,4.58,0,0,1.65,0.64,18.25,1.49,0,0.94,0,11.06,8.53,0,24.16,250.48,0,6.11,6.51,10.27,0,63.14,0,0,4.81,93.12,7.05,49.96,0,0,0,0,0
 48-58,0,0,25.13,0,0,80.49,212.82,9.82,0,17.35,1.67,0.75,0.77,4.85,27.07,0.54,3.08,0,4.96,22,6.92,0.71,18.06,347.99,0.83,8.48,0.38,0,0,49.14,0,0,11.02,76.29,0,68.49,0,0,3.59,0,12.35
 60-70,0.62,0,39.07,0,0,87.89,166.48,9.18,0,46.74,14.36,0,0,3.39,11.42,3.46,5.33,5.17,0,32.19,0,0.98,20.13,353.32,3.13,12.16,0.65,0,0,53.53,0,0,4.82,47.53,0,75.5,0.81,1.56,2.95,0.82,12.18
 72-82,0.87,0,10.48,2.09,0,131.75,136.71,0.8,1.33,62.39,9.16,0,2.3,1.51,27.5,2.68,7.04,0,1.69,38.06,13.3,4.31,9.27,425.25,0,13.98,5.09,0,2.8,27.72,1.65,0,3.09,25.79,0,76.2,4.33,0.56,5.49,0.51,2.09
 84-94,0,0,48.42,12.95,0,95.63,156.72,14.67,0.87,81.82,26.88,5.37,1.91,9.75,33.61,0,5.44,0,0.58,77.75,3.14,8.75,20.27,256.73,0.91,25.22,6.08,0,0.57,81.43,0,0,5.95,42.08,0,51.65,4.34,6.63,7.47,0.68,9.49
 96-106,0,0,47.45,28.55,0.92,124.2,226.62,4.67,0,100.79,34.93,0,3,7.89,32.53,0.97,12.37,8.64,0,82.45,6.22,6.3,21.89,377.82,0.66,25.09,22.85,0,1.17,88.71,0,0,4.33,39.77,0,30.47,11.99,1.03,6.98,22.48,16.93
108-118,5.06,0.74,39.42,16.1,3.91,141.68,167.22,8.93,3.18,68.31,27.66,0,0.51,11.51,36.72,9.1,5.57,4.54,0.75,67.23,11.11,8.8,36.22,370.26,0.46,15.58,30.53,0,2.29,81.63,0,0,10.34,44.66,0,23.63,13.5,3.21,1.72,5.01,10.37
120,0,0,70.8,17.03,0,81.43,92.49,13.76,0,71.68,47.53,0,0,7.7,36.59,1.17,14.24,0,1.51,75.97,3.03,22.18,13.88,495.9,5.69,15.71,10.85,0,0,59.27,0,1.12,7.81,14.21,0,23.99,0,5.29,15.97,40.91,15.67
