stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,34.32,537.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0
  5-6,23.33,358.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,125.9,5.39,0,0,46.85,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.42,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.31,0,0,0,22.93,0,0,11.51,0,3.69,0,0,0,0,0,0
 14-21,0,0,0,0,2.82,1.03,0,0.82,0,0,1.79,0,0,0,0,0,0,0,0,0.9,24.01,4.58,0,0,0,0,7.26,0,2.08,0,10.3,17.26,22.31,0,1,0
 24-34,0,0,0,0,1.97,0,0,20.15,0,0,3.9,0,0,0,0,1.32,0,2.1,0,1.45,232.97,3.83,1.63,2.75,0,0,6.85,0,0,0,1.79,2.98,82.26,0,8.91,0
 36-46,0,0,0,0.63,0.94,0,0,75.45,0,0,4.5,0.83,0,0,1.77,0,0,2.72,1.94,0,527.23,1.96,7.55,2.89,0,0,1.01,0,0,0,0,0,123.12,0,9.51,0
 48-58,0,0,0.4,0,5.59,0,0,184.32,0,4.93,15.77,0,0,2.19,0,0,0,8.09,0,3.65,711.54,14.62,9.24,5.18,0,0,1.93,0,0,0,0,0,99.23,0,2.19,0
 60-70,0,0,0,0,0,0,0,351.84,7.51,0,11.49,0,0,0,0,0,0,11.79,0,1.97,585.84,9.14,8.27,0.78,0,0,0,0,0,0,0,0,90.71,0,0,3.49
 72-82,0,0,0,0,0,0,0,530.25,0,0,11.35,0.73,0.66,0.54,4.36,0,0,10.13,0,0,544.8,0,13.31,2.74,0,5.18,0,0,0,0,0,0,52.19,0.56,16.66,3.44
 84-94,0,0,3.91,0,5.28,0.71,0,320.37,0.7,0,6.06,0.96,1.78,8.72,2.52,0,0,12.34,5.93,1.23,483.38,4.25,7.3,5.12,0,3.32,0,0,0,0,0,0,37.78,5.34,2.24,0
 96-106,0,0,0,0,0,0,0,324.05,0.62,0,14.99,0,0,2.97,1.87,0,0.84,16.08,2.64,0.57,416.84,0,3.86,3.95,0,0,9.97,0,0,1.1,0,0,19.08,0,6.84,10.31
108-118,0,0,0,0,4.55,0,2.84,328.47,0,0,17.79,0,1.03,2.7,1.52,0,0,14.48,0,1.74,445.36,7.59,3.8,0.65,0,0,0.96,0,0,0,0,0,27.07,3.08,3.23,0
120,0,0,0,0,14.25,0,0,310.56,0,4.45,24.17,0,0,9.44,1.29,0,0,31.72,0,0,697.65,0,19.61,9.6,0,0,1.42,0,0,0,0,0,18.01,2.83,8.01,0
