stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,64.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,24.11,0,0,0,7.81,0,0,0,0,0,0,0
 14-21,0,1.13,7.31,0,8.69,0,0,7.04,0,0,0,0,0,0,0,2.92,0,0,138.59,0.81,0.98,1.09,0,0,0.9,0,0.81,71.23,0,1.69
 24-34,0,0,1.6,0,12.22,0,0,9.84,0,0.62,0,0,0,0,0,3.97,0,0,197.25,0.62,15.6,1.64,0,0,0.7,0.99,0.68,70.09,0,0.62
 36-46,0,0,3.44,0,28.61,0,0,8.2,0,0,0,0,0,0,0,2.68,0,0,462.89,0,10.06,2.5,0,6.97,0,0,0,92.21,0,0.89
 48-58,0,0,6.38,0,34.67,0,0,12.64,0,0,0,0,0,0,0,5.18,0,0.42,594.98,0,9.41,6.22,0,0,0.61,0,0,111.84,0,0.45
 60-70,0,0,0,0,107.77,0,0,43.18,0,2.92,0,0,0,0.63,0,9.45,0,0,699.85,0,14.54,2.31,0,0,0,0,0,160.34,0,4.21
 72-82,0,0,1.98,0,48.47,0,0,29.34,3.98,0,0,0,0,3.61,0,4.38,0,0,470.36,0,14.42,1.65,0,0,0,0,0,63.39,0,0
 84-94,0,0,2.43,0.76,75.88,0.74,0,12.44,0,1.5,0,0.73,0,0,0,9.39,0,0,413.78,0,5.18,8.02,0,0,0,0,0,85.44,0,0.97
 96-106,0,4.26,0,7.51,57.85,0,0.84,26.71,1.17,4.11,0.56,0,0,0.74,7.54,5.69,0.83,0,375.96,0,9.84,6.44,0,0,0,0,0,43.33,0,1.45
108-118,0,0,7.48,0,79.86,0,0,23.73,0.81,1.65,0,0.64,5.25,2.59,0,10.26,0,1.39,352.41,0,7.27,4.91,0,0,0.61,0,0,8.78,3.7,0.55
120,0,13.09,1.21,0,21.6,2.08,0,30.42,0,0,0,0,0,0,5.29,3.13,0,0,427.1,0,30.64,7.48,0,0,0,0,0,6.6,0,0
