stage,epidermis,eye,glial,gut,immune,mesenchyme,neural,olfactory,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,4.49,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.68,4.33,0,0,2.66
 48-58,3.42,5.03,0,0,0,0.76,8.05,0.93,0.92,1.45
 60-70,0,3.55,7.35,0,0,0,0,0,1,0.7
 72-82,0,6.26,0,0,0,0,5.55,0,0,0.5
 84-94,0,8.3,1.66,0.68,0,2.37,7.43,0,3.34,0
 96-106,1.25,4.71,0.94,0,7.79,3.23,3.3,0,0,0
108-118,0,5.41,0.9,0,5.37,0,13.52,0,0,0
120,0,6.11,13.96,0,8.21,0,9.59,0,0,0
