stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,12.35,287.21,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.4,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.62,0,0,0,26.84,0,10.32,0,0,0
 10-12,0,6.05,0,0,0,0,0,0,0,0,0,3.2,0,5.33,0
 14-21,0,0,0,1.8,0,0,0,0,0,1.38,0,0,0,0,2.37
 24-34,0,0,0,0,0,0,0,0,0,12.34,0,0,0,0,3.26
 36-46,0,0,0,0,0.92,0,0,0,1.47,14.87,0,0,0,0,0
 48-58,0,0,5.39,0.4,0,0,0,0,0,40.5,0,0,0,0,2.49
 60-70,0,0,0,0.68,1.09,0,6.77,0,0,66.61,0,0,0,0,0
 72-82,0,0,0,0.83,0,0,4.77,0.88,0,62.24,1.95,0,0,0,4.18
 84-94,0,0,0,0,0,0,0.6,0,0,54.26,0,0,0,0,3.6
 96-106,0,0,0,7.99,1.42,0,3.91,0,0,47.32,0,0,1.27,0,0
108-118,0,0,1.57,2.49,0.68,0,2.21,0,0,41.62,0,0,0,0,2.17
120,0,0,1.69,22.86,0,0,4.25,0,11.82,66.26,0,0,0,0,2.78
