stage,blastomeres,eye,glial,lateral.line,neural,olfactory,otic,pronephros,spinal.cord,vasculature
  5-6,14.44,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.45,0,0,0,0,0
 10-12,0,0,0,0,7.76,0,0,0,0,0
 14-21,0,0,0,0,1.18,0,0,0,0.89,0
 24-34,0,0,0,0,0,0,0,2.71,4.03,0
 36-46,0,0,1.98,0,0,0,0,0,0,1.98
 48-58,0,0.38,0,0,1.68,0,0,0,1.11,0
 60-70,0,0,0,0,0,0,1.58,0,0,0
 72-82,0,0,0,0,1.14,1.49,1.54,0,0.81,0
 84-94,0,0,2.74,0.64,0,0,0.88,0,0,0
 96-106,0,0,1.46,0.58,0,7.12,0,0,5.73,0
108-118,0,0.51,3.27,0.7,0,0,0.45,0,1.43,0
120,0,0,0,0,0,11.79,0,0,7.65,0
