stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,16.65,57.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,62.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.75,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,58.42,6.09,0,25.22,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.88,0,0,31.01,0,16.66,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0.9,0,0,0,1.31,11.25,0,0,0,2.42,0,0.8,11.72,0,0
 24-34,0,0,0,0,0,0.89,0,0,0,0,1.72,6.45,0,0,0,22.32,0,0,0,33.28,0,0,3.52,0.61,0
 36-46,0,0,0,0,0,0,0.67,0,0,0,0,0.85,0,0,0,16.26,0,0.75,0,23.15,0,0,5.44,2.59,1.2
 48-58,0,0,0,0.52,0,3.26,0,2.38,0,0,0,2.05,0,0,0,12.7,0,0,0,9.1,0,0,1.69,0,0
 60-70,0,0,0,0,0,0,0,0,11.67,0,0,1.03,2.63,0,0,12.97,0,1.01,0,18.62,0,0,5.6,0,0.69
 72-82,0,0,0,0.72,0,2.38,0,0,1.28,0,0,10.41,0,0,0,18.93,0,0,0,8.05,0,0,0,0.99,0
 84-94,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0.63,0.68,9.21,0,0,0,5.64,0,0,0,0,0
 96-106,0,0,0.81,2.82,0,0,0,0,2.19,0,0,0,0,0,0,8.67,0,0,0,9.46,0,0,0,0,0
108-118,0,0,0,4.87,0,9.26,0,0,2.35,0,0,0,0.53,0,0,15.33,0,0,0,7.72,0,0,0,0,0
120,0,0,0,0,0,15.98,0,0,0,5.71,0,2.03,0,0,0,0,0,0,0,2.7,1.12,0,0,0,0
