stage,axial,blastomeres,epidermis,erythrocytes,fast.muscle,fin.epithelia,gut,heart,immune,mesenchyme,neural,periderm,slow.muscle
  3-4,0,25.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.3,0,0,0,0,0
 24-34,0,0,0,0,0,1.14,0,0,0,0,0,0,0
 36-46,0,0,0.65,0,0,0,0,0,0,0,0,7.95,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.79,0.39,0
 60-70,0,0,0,0,0,0,0,0,0,1.1,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.59,0,3.19,0,0
 96-106,0,0,0,0,0,0,0.63,0,0,0,0.96,0,0
108-118,0,0,0,0,0,0,0,0,1.77,0,1.88,0,0.46
120,0,0,15.87,1.91,1.25,0,0,0,0,0,9.71,0,0
