stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.53,1.21,0,0,0,0,0,0,0,0,0.81,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0.98,0,2.27,1.49,0,0,0,0,0
 24-34,0,0,1,0,14.54,0.68,0.92,0,0,0,3.27,4.35,0,0,0,0,0,0,1.3,22.19,0,2.6,5.26,0,0,0.95,0,0,2.74,1.18,0,0,0.6,0
 36-46,0,2.57,4.5,0,32.87,0,0,4.98,0,0,0,1.01,0,0,0,3.96,0,0,2.41,42.96,0,0.87,0,0,0,24.28,0,0,0,0.92,0,0,3.39,0
 48-58,0,1.78,0,0,31.14,0,0,2.81,0,0,0.42,0,0,0,0,4.82,0,0,0,33.35,0,2.55,0.82,0,0,4.93,0,0,0,2.12,0,0,1.36,0
 60-70,0.62,0,0.56,0,104.23,0,0,6.56,0.63,3.21,0,0,7.43,1.39,0.57,13.65,2.04,0,0,56.53,0,1.68,0,0,0,8.3,0.58,0,0,4.49,0,0,0.75,0
 72-82,1.3,1.75,0.64,0,169.04,0,0,15.73,0.97,0,1.28,0.64,0,2.54,0,14.39,1.91,1.41,0,63.95,0,3.34,4.08,0,2.26,0.55,0,0,0,2.76,0,0,5.96,0
 84-94,3.21,3.63,4.19,0.92,131.86,0,0,17.53,4.46,0,0,3.23,11.48,3.06,0,18.77,0,0,0,48.36,0,17.92,1.1,0,2.68,10.77,0,0,0,1.02,0,1.65,6.82,0
 96-106,6.98,3.17,0,0,146.57,0.7,1.67,21.92,5.74,0,0,8.16,0,4.44,0.72,24.25,2.28,0,0,76.98,0,0,0.65,0,2.14,12.22,0,0,0,3.97,1.97,4.06,10.17,1.65
108-118,1.11,8.4,0,1.7,209.69,0,4.33,26.83,1.79,0,0,7.44,1.44,1.58,1.74,18.06,5.43,4.84,0.45,45.37,0,6.59,1.51,0,4.04,3.84,1.91,0.56,0,3.2,0.81,3.47,6.36,1.55
120,10.92,17.31,0,0,215.71,0,0,9.68,1.08,0,0,1.25,0,4.79,0,14.41,0,9.18,1.64,81.73,2.26,2.88,0,0,17.54,0,0,0,0,0,0,0,31.58,1.93
