stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.19,0,0,20.22,0,0,0,0,0,0,0,0
 14-21,0,0,2.27,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1.92,1.39,0,0,0,0.96,2.15,0,3.33,0,0,0
 24-34,0,0,4.28,0.96,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0.93,0,0,0,0,13.69,0,0,0,0,0,0
 36-46,0,0,1.3,0,0.84,0,0,0,2.17,0,0,0,0,0,0,0,0,0.71,0.81,0,0,0,0,3.03,0,0,0.94,0,0,0
 48-58,0,0,1.06,0,0,0,0,0,0,0,0,0,0.51,0,0,0.5,0.37,0,0,3.97,0,0,0,7.57,0,0,0,0,0,0
 60-70,0,0,3.78,0,0,0,4.06,0,2.02,0,0,2.24,0,1.02,0,2.06,0,0,0.57,0,0,0,0,0,0,0,0,2.09,0,0
 72-82,0,0,0.93,1.75,0,0,4.65,0,3.34,0,0.73,0.57,0,0,0,3.33,0,0,2.68,0,0,0,0,0,0,0,2.56,1.32,1.13,0
 84-94,0,0,1.19,0,0.69,0,0,0,2.11,0,0,0.64,0,0,0,2.48,0,0,0,0,0,0,0.6,2.6,0,0,0,1.59,0,0
 96-106,0,0,0.97,0,0,0,0,1.21,0.93,0,0,0,0,0,0,1.12,0,0,0,0,1.11,0,0,0.61,0,0.61,0,2.08,0,0.62
108-118,0,0,2.22,0.61,0,0.43,0.91,0,0,1.75,0,0.48,0,0,0,7.93,0,0,7.51,0,0,0,0,0.5,0,0,0,0,0,0
120,0,0,6.56,0,0,0,1.35,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,9.3,0,0,0,0,0,0
