stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 14-21,0,2.88,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0.86,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0
 48-58,0,0,0,0,0.44,0,0,0,0,0,3.6,0,0,1.63,1.95,0
 60-70,0,0,0,0,1.72,6.7,0,0,0,0,1.19,1.03,0,8.21,0,0
 72-82,0,0,0,0,2.22,0,0,0,4.18,0,0,0.55,0,1.86,0,0
 84-94,0,0,6.24,0,0,1.78,0,0.56,0,0,4.42,0,0,12.65,0,0
 96-106,0.73,0,4.77,0,0,1.65,0.74,1.95,2.83,0,6.89,0.66,0,6.81,0,0
108-118,0,0,1.46,0,0,10.93,0,4.58,5.57,1.41,4.02,0.86,0,3.97,0,0.57
120,0,0,0,2.6,4.62,2.35,0,5.25,0,0,0,0,0,14.64,0,0
