stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal_cord
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,8.88,0,0,6.86,0
 14-21,0,0,0,0,0,0,0,0,2.52,0,0,0,0
 24-34,0,0,0,0,0,0.72,0,0,0.61,0,0,0,1.15
 36-46,0,0,0,0,0,0,0,0,1,0,0,0,0
 48-58,0,0,1.98,0.54,0,0,0,0,4.13,0,0,0,0
 60-70,0,0,2.87,0,0,0,0.69,0.63,0,1.19,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.09,1.07,0,0,0
108-118,0,1.3,0,0,0,0.63,0,0,1.32,0,1.7,0,0
120,0,0,0,0,2.26,0,0,0,0,7.72,0,0,0
