stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,xanthophores
  3-4,48.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.29,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,13.86,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.93,0,5.15,0,5.16,0,0,0
 14-21,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.88,0,0,0
 24-34,0,0.68,0,0,0,0,0,0,0,0,3.38,0,0,0,0.61,0,0,24.87,0.69,0,0,113.56,0,0,0
 36-46,0,0,0,0,0,1.04,0,0,0,0,0,0,0,0.72,0,0,0,25.75,0.63,0,0,129.16,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.47,8.61,0,0,1.34,0,0,0,19.58,1.1,0,0,56.09,0.75,0,5.41
 60-70,0,0.76,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0.69,0,2.03,0.61,0,0,51.71,0,0,0
 72-82,0,3.15,0,0,0,0,1.44,0,0,1.86,1.43,0,0.79,0,0,1.19,0,10.25,0,0,0,32.73,0,3.21,0
 84-94,0,11.98,1.15,0,0,0.58,0,0,0.6,5.08,1.99,3.45,0,0,5.14,0,0,16.81,0,0,0,119.76,0,0,0
 96-106,0,24.72,7.24,0,0,0,0,0,0,0,0.7,2.97,0.63,0,2.38,0,1.13,5.51,2.37,0,2.27,102.9,0,2.84,0
108-118,0,12.54,0,5.38,0.89,3.43,0,1.22,0,1.62,6.03,4.85,0.42,0,1.24,0,1.88,4.57,0,0,0,87.39,0,5.48,0
120,0,18.68,0,0,0,0,3.02,5,0,0,0,0,0,0,0,0,0,2.31,0,0,0,47.35,0,1.19,0
