stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,7.14,22.19,3.32,7.71,0,0,0,8.9,2.59,0,0,0,0,0,0,0.85,16.22,0,74.97,322.6,592.33,0,5.11,7.39,0,0,1.26,37.21,0,50.97,169.95,0,0,0,0,0
 24-34,0,0.81,1.39,3.1,0,19.67,0,0,0,5.97,0,0,1.85,2.17,0,0.91,0,0,20.53,2.43,9.92,317.12,111.85,1.05,6.24,0,0,0.81,0,1.58,0,4.02,108.81,0,0,3.25,0,0
 36-46,0,0,0,0,0,12.74,0,0,0.75,2.75,0,0,0,0,0,0.57,0,0,19.53,0.72,3.87,75.51,79.43,0,0,0,0,0,0,0,0.74,0,17.88,0,0,1.01,0,0
 48-58,0,0,0,2.18,0,55.39,1.05,0.85,0.6,2.77,0,0.63,0,0,4.16,1.97,0,0,31.33,1.59,3.68,88.5,37.37,0.41,0.52,0,0,0.67,0,0.92,0,0,35.78,0,0,5.44,0,0.96
 60-70,0,0.65,0,2.75,4.71,102.35,0,0,1.64,9.2,0,0,3.2,0,0,4.29,0,0,70.92,0,8.73,228.78,4.98,1.08,1.37,0,0,1.24,0,0,0,0,53.63,0,0.61,1.36,0,0
 72-82,0,2.23,0,0,0,16.36,0,0,2.39,2.37,0,0,0,0,0,13.03,0,0,12.71,1.1,1.02,30.55,7.22,0,0.54,0,0,0,0,0,0,0,3.92,0,0,0,0,0
 84-94,0,0,0,3.69,0.86,24.61,0,0,0,15.67,0,0,0.84,0,0.65,32.55,0,0,47.17,1.05,1.51,131.08,7.18,0,0.71,0,1.68,5.4,0,0,0,0,29.11,0,0.57,0,2.86,0
 96-106,0,0,0,1.43,0,15.63,0,0,0,1.97,0,0.61,0,0.91,0.81,43.81,0,0,15.93,2.84,4.36,30.75,6.12,1.82,2.4,0,0,3.25,0,0,0,0,0,0,0,0.71,0,0
108-118,0,1.63,0,0.83,0,18.67,0,0,0.43,16.41,0,0,0.92,0.52,1.01,24.18,0,0,33.23,0,0.57,111.11,9.58,0.43,4.09,0,1.58,1.88,0,0,0,0,12.16,1.21,0,0,0.7,0
120,1.12,0,0,21.64,0,5.51,0,0,0,3.05,0,0,0,0,0,16.61,4.47,0,1.73,0,0,80.93,13.08,0,0,0,0,1.27,0,0,0,0,0,0,0,12.08,0,0
