stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,22.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.79,119.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.88,0,0,4.2,0,0,0,4.73,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,67.94,0,0,0,12.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.75,0,0,0,60.53,0,0,0,23.48,0,0,0,0,0,0,0
 14-21,0,0,0,5.2,95.27,7.14,0,6.75,0,0,0,0.9,9.86,0,2.19,0,0,0,0,0,1.26,17.31,0,0,16.52,56.37,6.71,0,2.36,1.76,0,0,4.51,0.87,6.93,13.68,19.12,0,0,1.49,0
 24-34,0,0,0.66,0,17.94,0,0,8.78,0,0,0.74,2.33,0.67,0,4.3,0,2.04,0,1.29,0,0,21.64,0,0,5.19,139.16,2.81,4.3,3.11,0,0,1.59,0,4.19,0.66,4.53,22.54,0,0,6.24,0
 36-46,0,0,0,0,13.69,0,0,15.77,5.22,0,0.82,4.26,0,0,12.32,0,0,0,0.6,0,0,23.91,0,3.67,4.54,189.93,2.93,1.29,3.16,0,0,0.61,0,0,0,0,33.63,0,0,6.99,0
 48-58,0,0,0,0,3.03,0,0,22.76,0,0,2.96,4.46,0.89,0.37,2.38,0,0,0,0.55,0,0,27.78,0,0,2.9,223.42,4.23,0.87,2.28,0,0,6.61,0,0.43,0,0,49.8,0,0.37,3.87,0
 60-70,0,0,0,0,1.19,0.67,0,54.04,0,0,0,3.6,0.64,0,0.77,0,1.21,0,0,0,0,46.35,0,2.06,2.21,155.3,0,0,0.65,0,0,0,0,0,0,0,29.89,0,2.19,0,0
 72-82,0,0,0.9,0,0.7,4.4,0,30.67,0,2.13,0.88,15.41,0.85,0,6.09,0,0,0,0,0,0,30.17,0,0,1.82,131.59,0,0.53,6.02,0,0,1.34,0,0,0,0,18.31,0,1.47,3.09,0.78
 84-94,0,0,0,0,2.28,5.39,0,26.1,0,0.68,5.98,4.22,0,1.22,0,0.58,0,2.52,4.17,0,0,53.07,1.21,3.48,0,74.63,3.1,0.6,10.73,0,0,0,0,0,0,0,46.24,0.78,2.34,3.35,1.95
 96-106,0,0,0,0,2.61,2.79,0,21.12,0,1.15,1.39,6.01,0.69,0,10.8,1.76,0,0.79,0,0,0,24.56,0,0.78,4.24,95.66,2.43,0.66,4.95,0,0.99,6.65,0,0,0,0,25.09,0,0,0,2.28
108-118,0,0,0.77,0,20.02,9.15,7.18,16.33,0.44,3.81,2.61,12.65,4.43,0,1.65,2.72,0,2.98,1.41,7.57,0,37.62,0,1.27,0,138.91,2.23,0.7,6.08,0,0,2.03,0,0,0,0,1.04,0,0.57,2.43,1
120,0,0,0,0,10.56,2.63,0,54.25,0,0,0,20.96,1.12,0,4.91,0,0,0,1.48,0,0,47.83,0,0,5.36,81.53,4.12,2.17,4.33,0,0,4.28,0,0,0,0,10.6,0,0,0,0
