stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,12.09,72.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,130.09,0,0,0,0,0,0,0,0,0,0,0,0,36.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,77.12,3.63,0,0,18.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.85,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.66,0,0,0,23.03,1,0,0,0,2.04,1.73,25.94,2.21,0,1.09,0.8,0,5.73,16.35,2.82,50.36,0,0,0
 24-34,0,0,0,8.31,2.17,0.62,0,26.91,0,0,2.26,0,3.48,6.48,63.26,0,0.77,10.37,0,0,0,5.05,0,41.62,0,0,0
 36-46,0,0,0,1.38,0,2.07,0,24.25,0,0,0.79,1.14,7.5,3.84,32.49,0,1.61,9.22,0,0,0,1.34,0,17.89,0,0.96,0
 48-58,0,0,0,0.5,0,3.38,0,15.22,0.58,0,0.42,0,6.42,5.31,41.61,0,2.33,4.58,0,0,0,0,0,17.04,0,0,0
 60-70,0,0,0.57,0.57,0,0,0,22.22,0,0,7.15,0,14.67,1.26,5.83,0,4.3,0,0,0,0,0.68,0,21.37,0,1.96,0
 72-82,0,0,0,0,0,0,0,22.18,0,0,7.3,0,5.02,0.63,3.65,0,1.88,7.98,0,1.77,0,1,0,8.58,0.87,0,0
 84-94,0,0,0,0,0,0.81,3.15,24.6,0,1.01,9.7,0,1.03,0,4.6,0,4.66,10.15,0,0,0,1.09,0,5.87,0,0,0
 96-106,0,0,0,1.04,0,5.9,0,14.75,0,0,16.94,0,2.59,1.6,1.78,0,0.59,4.74,0,0,0,1.51,0,0,0,8.43,0.9
108-118,0,0,0,0,0,0,0.46,29.37,0,0,12.64,0,5.11,0.9,1.14,0,2.84,6.34,0,0,0,0,0,1.25,0,0,0
120,0,0,0,0,0,0,0,26.23,0,0,17.48,0,0,0,20.54,0,0,10.05,0,0,0,0,0,0,1.52,0,0
