stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.72,2999.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.42,0,0,0,0,0,0,0,0,0
  5-6,103.14,703.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58,0,0,0,9.32,0,16.29,0,0,0,0,0,0,0,0,0
  7-9,3.48,8.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.79,4.03,0,0,19.37,0,0,53.21,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.12,0,0,0,9.4,0,0,4.8,0,0,0,0,0,0,0,0
 14-21,0,0,8.08,8.3,0,3.84,0,0,0,0,0,0,0,0,0,0,7.77,0,0,0,979.17,0,0,0,0,0,0,3.6,0.93,0,3.55,3.11,0,0,0,0
 24-34,0,0,13.09,0,0,38.17,0,0.89,0,0,0,2.67,0,0,12.03,0,12.71,0,0,12.59,4699.82,0,3.21,0,0,0,12.38,0,0,1.34,0,22.38,0,2.34,0,0
 36-46,0,0,0,0,0,184.57,0,1.26,13.36,0,0.57,0,1.81,0.95,1.34,0,21,0.59,0,1.39,4495.29,0,1.21,2.72,0,0,1.39,0,0,0,0,51.13,0,0,0,0
 48-58,0,0,4.98,0,0,393.58,0.41,1.09,9.04,0,0,0,0,0,0,0.53,23.94,0,0,0.62,2986.83,0,1.69,0,0,0,0,0,0,0,0,29.71,0,0.85,0,17.09
 60-70,0,0,0,0,0,558.52,0.79,1.21,10.59,0,0,3.68,0,0,0,0,20.3,0,0,0,2080.29,0,0,0,0,0.66,10.63,0,0,0,0,13.85,0,0,0,3.78
 72-82,0,0,2.96,0.58,0,394.82,0,5.69,25.55,1.73,0,32.96,1.29,0,2.33,0,44.97,0,1.17,1.97,1934.45,0,1.71,1.28,0,0,2.23,0,0,0,0,0.96,0,1.05,0.52,19.11
 84-94,0,0,12.51,0.72,0,320.21,0,2.42,12.02,2.74,0,33.78,1.63,0,0,0,38.64,0,0,0,1414.49,0,0,1.29,0,0,2.28,0,0,0,0,0,2.5,0,0,0
 96-106,0,0,18.7,7.6,0,254.96,0.62,2.27,48.08,0.9,0,59.32,0,0,0,0,36.11,0,0,0,1130.48,0,0,2.51,0,0,1.89,0,0,0,0,0,0,2.54,0,0.8
108-118,0,0,18.71,5.78,12.53,296.51,0,0,13.29,1.77,0,65.69,0,0,0,0,17.78,0,0,8.2,1813.86,0,14.67,0,0,0,0.44,0,0,0,0,0,0,2.32,2.22,0
120,0,0,51.97,6.28,0,351.54,0,3.73,35.17,0,0,90.7,0,0,13.18,0,59.37,0,0,0,1792.73,0,10.74,4.29,0,0,0,0,0,0,0,9.32,0,7.27,0,3.58
