stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,1.26,0,0,2349.04,0,0,0,0,0,0,0,0,0,0,0,217.44,1.73,0,0,0,22.54,0,0,0,0,5.13,1.04,0,0,1.53,1.16,0,0,0,0,0
 24-34,4.02,0,0,13.29,3.16,0,9829.42,0,5.94,0,3.7,0.61,2.44,0.86,2.28,23.96,1.49,3.47,6341.02,35.5,0,0,16.3,497.09,1.46,4.41,8.02,0,44.86,0,2.65,14.36,4.1,68.74,0,0,10.35,0,2.3
 36-46,0,0,0.63,22.76,3.79,0,6920.77,10.38,0,0,10.9,0,0,5.79,2.37,48.17,0,8.72,17690.74,40.83,0.63,0,13.27,415.15,4.07,4.92,2.21,2.1,32.83,1.82,0.56,0,0,90.61,0,0,25.14,0,34.99
 48-58,0,0,0,9.31,2.74,0,7242.24,4.11,5.08,2.29,41.47,0,0.4,3.38,0.49,66.23,0,0.65,11348.34,32.48,0.58,0.94,9.55,386.95,12.63,0,1.86,0,23.23,0,0.57,4.65,0,70.01,0,0,8.55,0,14.97
 60-70,0,0,0,34.83,2.37,0,8595.49,0,1.83,2.5,29.94,1.84,0.71,7.62,0,80.4,0,0,5785.08,46.06,0,11.31,1.29,286.86,0,4.93,0,0,18.12,0,0,0,0,33.03,0,0.61,3.5,4.07,43.72
 72-82,0,0,0,14.1,8.5,0,6467.02,0,1.8,5.56,24.47,2.55,0,5.42,0,67.45,0,36.26,3164.32,39.49,0.79,3.84,0.71,169.84,0,1.03,0,0,13.06,0,0,0.53,0,18.55,0,0.75,4.19,7.26,14.33
 84-94,0,1.19,0,40.16,23.13,0.76,16572.04,0,3.18,12.48,30.02,2.63,1.78,8.49,1.43,102.93,0.65,9.21,5891.79,55.16,2.88,2.55,5.99,176.25,0.79,4.57,4.15,0,36.22,0,3.22,14.92,0,10.82,0,1.49,4.72,1.23,12.8
 96-106,0,0,0,16.3,53.04,33.1,12551.98,0,3.77,3.57,44.05,5,0,7.45,1.6,81.83,5.63,18.95,3397.39,47.21,1.61,1.03,5.86,271.56,0,2.68,13.68,5.48,30.28,0,0,0,0,21.58,1.97,1.22,21.18,0,21.85
108-118,0,0.41,0.74,17.14,39.77,60.9,13967.69,0,2.31,0,43.55,5.71,0,0,2.9,124.23,0,10.62,3636.38,66.24,0.71,2.51,3.13,228.5,1.6,3.7,3.48,1.82,30.63,0,0,0,0,7.25,1.35,3.12,3.88,1.83,55.39
120,0,0,0,1.74,21.32,0,5733.54,4.17,3.98,5.01,22.01,25.82,0,0,0,44.57,0,0,1549.27,36.29,0,2.22,1.28,247.85,0,0,2.49,0,3.45,0,0,0,0,16.32,0,0,2.66,0,0
