stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,71.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,38.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.91,3.54,0,0,86.8,0,0,5.47,3.57,17.74,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.67,8.49,5.98,0,14.73,0,0,0,1.06,0,0,0,0,2.04,0,0,1.25,10.92,0,0,2.55,60.84,0.95,0,0,10.33,0,0,0,13.2,1.77,1.24,18.19,29.25,0,0,0,0,3.17
 24-34,0,0,0,0,1.99,2.69,0,17.84,0,0,0,2.57,0,0,0,0,30.02,0,0,2.41,2.2,0,0,3.57,92.48,0,4.84,1.14,0,0,3.99,0,0,0,0,1.34,16.02,0,0,2.13,0,6.47
 36-46,0,0,0,0,0.94,0,0,42.61,0,0,0,1.94,0,0,0,0,73.71,0,0,0,2,0,0,0.64,152.24,0,7.34,0,0,0,9.88,0,0,0.58,0,0,43.19,0,0,0,0,10.39
 48-58,0,0,0,0,5.82,0,0,101.82,0,0,0,2.32,0,0,0,0,84.19,0,0,0,5.07,0,0,0.83,369.75,1.06,4.41,0,0,0,0,0,0,0,0,0,51.54,0,0,0.71,0,18.14
 60-70,0,0,0,0,8.71,0,0,290.45,0,0,0,3.34,0.63,0,0,0,136.95,0,0,0,5.1,0,0,1.13,576.64,5.57,2.45,0,0,0,0.71,0,0,1.35,0,0,80.73,0,0,0,0,29.86
 72-82,0,0,0,0,3.64,37.31,0,435.09,0.65,0,1.49,24.83,1.84,0.59,0,0,208.79,0,4.32,0,26.89,0,0,3.53,699.88,0,8.49,0.69,0,0,4.06,0,0,0,0,0,74.11,0,0,0,0,28.68
 84-94,0,0,0,0,5.53,71.27,0,217.34,0,0,7.35,15.32,0,0,0,0,303.74,0.64,0,0,19.13,0,0,12.09,408.32,0,10.23,0,0,1.75,1.3,0,0,0,0,0,53.51,0,0,0,0.77,6.86
 96-106,0,0,0,0.72,4.99,42.25,0,357.78,0,0,0,46.86,2.18,0,1.75,0,284.28,0,0,0,60.33,2.99,1.71,3.32,444.03,0,11.89,2.39,0,0,7.14,0,0,0.7,0,0,34.03,0.83,0,1.56,0,31.49
108-118,0,0,2.15,0,8.54,40.19,2.07,313.44,0,0,1.61,25.63,1.24,0,0.51,0,572.28,1,1.75,1.32,39.57,0,1.9,4.19,554.24,0.43,14.64,8.32,0,0,1.51,0,0,0,1.06,0,45.36,2.96,0.67,0.49,0.44,36.95
120,0,0,3.29,0,9.53,38.01,0,300.94,0,3.08,0,36.77,4.01,0,0,4.41,479.91,0,0,0,54.92,0,0,4.71,694.13,0,0,2.34,0,0,0,0,0,1.86,0,0,20.31,0,0,7.58,0,21.23
