stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,248.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0
  5-6,7.04,75.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.79,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.54,0,11.25,16.17,0,0,0,0
 10-12,0,0,0,4.1,0,0,0,0,0,0,0,0,0,7.61,0,0,6.59,0,0,0,0
 14-21,0,0,0,0,3.44,0,0,0,0,0.97,0,0,0,0,0,0,12.17,0,0,0,0
 24-34,0,0,0,0,0.94,0,0,0,0,1.33,0,4.95,1.27,4.24,0,0,27.75,0,0,0,0
 36-46,0,0,0,0,0,1.41,0,0,0,0,0,0,0,6.63,1.66,0,23.17,0,0,0,0.63
 48-58,0,0,0,0,1.2,0,0.67,0,0,0,0,0,0,0,0,0,13.94,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,1.61,0,0,2.54,0,0,11.63,0.57,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.43,0,0,3.93,0,0,4.86,0,0.95,0.78,0
 84-94,0,0,0,0,3.31,0,0,0,0,2.82,0.56,0,0,0,0,0,28.21,0,0,0,1.01
 96-106,0,0,0,0,3.6,0,0,0,1.28,0,0,0,0,0,0,0,21.14,0,0,0,0
108-118,0,0,3.38,0,6.53,0,0,1.33,3.14,1.16,0,1.71,0,7.15,0.96,0,9.77,0,0,0,0
120,0,0,0,0,2.4,0,0,0,1.94,1.77,0,0,0,0,0,0,7.4,0,3.57,0,0
