stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,6.2,4.17,0,1.04,0,0,0,0,0,0,0,10,0,0,1.04,0,453.84,0,0,236.67,66.46,11.04,0,0,9.57,0,0,4.67,0,0,13.96,6.7,0,0,0,0
 24-34,0,0,16.96,2.17,0,12.58,0,0,130.79,1.39,0,7.27,0,1.92,1.65,0,3.36,0,1689.86,0,0,233.98,327.39,5.88,0,0,0,0,1.4,0,1,0,77.23,22.68,0,0,0,0.93
 36-46,0,0,4.94,0,0,15.5,0,5.07,360.28,1.6,0,8.05,1.03,14.55,0,0,0,0,2689.13,0,9.74,200.92,347.02,1.44,0,0,0,3.38,0,0,0,0,0.83,23.56,0,1.45,0,0
 48-58,4.29,0,21,0,0,58.01,0,27.11,384.67,9.91,0.54,6.97,1.57,0,7.38,0,0,9.83,3707.68,0,0.75,212.44,307.99,0.61,0.88,1.16,0,0,1.48,0,0,0,0,22.72,0,3,0.9,13.68
 60-70,0.81,0,5.66,9.11,0,58.86,0.59,21.22,359.43,4.37,0,2.42,0,0,0.67,0,2.91,6.35,3928.04,0,2.87,122.49,215.11,0,0,0,0,4.09,3.49,0,0,3.27,0,6.97,6.59,0,0,0
 72-82,0,0,8.94,6.42,0.76,161.6,4.58,11.47,425.27,15.02,0,3.46,3.96,0,0.57,0.69,0,0,4415.04,1.52,3.25,172.42,110.94,0,0,1.49,0,14.55,0,0,0,0,0,14.09,16.55,0,4.66,0
 84-94,0,2.22,12.71,0,0,183.67,0,17.3,405.1,18.3,0.84,7.41,3.02,0.72,2.97,0,5.44,0,3855.68,0,2.47,119.16,92.25,0,0,0.79,0,13.69,4,0,3.47,0,0,7.11,9.85,3.8,13.48,0
 96-106,0,0,12.98,10.5,0,116.84,9.51,5.71,398.16,20.15,3.52,14.18,0,0,0,0,0,0,3344.41,1.42,4.26,90.32,183.44,0.73,2.29,1.42,0,23.27,4.68,0,0,0,0,0,19.94,1.59,1.47,0.62
108-118,0,0,5.15,0.72,0.5,53.53,0.64,4.21,312.03,14.74,0,10.87,4.2,0.67,0,0.53,6.74,0,3448.69,0,7.3,59.83,150.86,0,0,2.57,0,8.2,8.36,0,0,0,0,4.34,8.8,0,0,0
120,0,0,17.38,5.88,0,73.67,0,0,352.74,11.7,0,12.58,0,0,0,0,0,0,2513.68,0,2.08,41.08,122.36,0,0,0,0,41.55,1.04,0,0,0,0,0,9.46,14.62,0,0
