stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,50.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.17,0,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.09,0,0
 14-21,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.85,0,0,0,0,1.23,0,0,0,0
 48-58,0,0,0,13.04,9.44,0,1.71,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,28.59,206.01,0,2.33,0,0,1.52,0,7.25,0,0,0,0
 72-82,0,0,0,41.33,423.29,0,2.59,0,0,6.2,1.39,1.85,0.53,0,0.78,7.45
 84-94,0,0,0,76.12,459.48,0,7.97,0,0,9.1,0,7.94,0,0,0,0
 96-106,0,1.17,1.27,39.33,857.6,1.06,3.58,0,0,4.99,0,24.28,0,0,0,0.95
108-118,0,0,0.91,35.48,579.34,0,10.45,0.64,5.21,2.76,0,32.52,0.52,0,0,0
120,0,0,0,48.31,557.9,0,12.54,0,0,0,0,36.49,0,0,0,0
