stage,axial,blastomeres,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,spinal.cord
  3-4,0,31.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,0,1.36,0.84,5.06,1.38,0,0,0,1.58,0,2.7
 24-34,0,0,1.58,0,0,0,0,0,0.59,0,1.26,0,0,0,1.7,0,0,0
 36-46,0,0,0,5.74,0,0,0,0,0,0,3.88,0,1.69,0,0,0,0,0
 48-58,0,0,0,2.74,0,0,0.7,0,1.45,0,5.21,0,0,0,0,0,0.93,0.79
 60-70,0,0,0,6.15,0.78,0,0,0,0.7,0.59,0.64,0,0,0,0,0,0,1.02
 72-82,0,0,0,1.47,0,0,0,0,0,0,7.2,0,0,0,2.15,0,1.81,0
 96-106,0,0,0,0.82,0,4.95,0,0,0,0,8.56,0,0,0,0,0,0,0
108-118,0,0,0,4.44,0,0,0,0.67,0,0,6.11,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,19.38,0,0,2.56,0,0,0,0
