stage,blastomeres,eye,glial,mesenchyme,neural,paraxial.mesoderm,pgc
  5-6,14.62,0,0,0,29.17,0,0
  7-9,0,0,0,0,21.3,3.63,0
 10-12,0,0,0,0,0,0,6.03
 48-58,0,0.56,0,0,0,0,0
 60-70,0,0,0,0,1.62,0,0
 72-82,0,0,1.73,0.53,0,0,0
 84-94,0,0,0.91,0.99,0,0,0
 96-106,0,0,1.9,0,0.63,0,0
108-118,0,0,0,3.23,0,0,0
