stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,118.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4302.4,0,0,0,0,0,0,0,0,0
  5-6,27.24,508.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,10437.8,0,0,0,0,0,0,0,0,0
  7-9,24.9,9.46,0,3.51,0,0,59.2,0,0,0,0,5.26,0,0,0,0,0,0,0,0,522.44,18.6,0,0,120.05,2237.85,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,45.7,0,0,54.44,0,0,0,0,0,0,0,0,0,0,0,0,0,491.53,3.56,0,0,146.64,628.51,8.7,0,6.6,0,0,0,0,0,0
 14-21,0,0,0,0,97.71,0,2.89,0,0,0,1.08,0,0,0,1.08,0,0,5.99,0,2.68,47.13,28.84,0,4.6,1.44,1424.43,0,2.61,0,1.27,9.4,0,0,2.91,0
 24-34,0,0,0.66,0,4.36,0,1.8,0.78,0,0,0,0,0,0,4.14,0.96,4.98,0,0,2.06,39.19,0,4.4,1.28,0,41.39,0,0,0,0,5.84,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.23,1.23,0,0.93,0,2.19,2.01,1.95,0.72,0,0,29.93,0,0,0.84,0,83.32,0,0,0,0,7,0,0,0,0
 48-58,0,0,0,0,0.51,0,7.65,0,1.2,1.14,0,0.37,0.4,0,3.44,1.33,2.85,0,0,1.01,14.3,0,0,0,0,34.11,0,0,0,0,5.47,0,0,1.19,0
 60-70,0,0,0,0,0.58,0,5.63,0,0,0,0,2.34,0.76,0,4.64,0,4.91,0,0,0,18.83,0,1.09,0,0,40.7,0,0,0,0,9.21,0.61,0,0,0
 72-82,0,0,0,0,4.27,0,0,0,0,1.37,0,0,0,0,3.46,2.53,3.68,2.12,0,0,28.94,0,0,0,0,60.22,0,0,0,0,0,0,2.01,0,1.08
 84-94,0,0,0,0,2.74,0,3.43,0.6,0,0.73,0.68,0.86,0,0,4.36,6.3,2.71,0,1.13,0,21.92,0,3.46,0,0,137.9,0,0,0,0,0,0.74,0,0,0
 96-106,0,0,0,0,6.71,1.07,0,1.58,0,1.14,0,0,0,0,15.76,1.35,7.43,2.06,0,1.76,11.33,0,4.71,0,0,192.85,0,0,0,0,0,2.42,1.93,0,0
108-118,0,0,0,0,22.17,0,1.01,2.2,0,1.69,0.5,0,0,1.35,7.96,5.32,12.35,1.55,0,0,8.03,0,4.02,0,0,162.91,0,0,0,0,0,3.47,0,0,0
120,0,0,0,0,14.14,0,0,4.57,0,0,0,0,0,0,13.02,0,1.69,1.47,0,0,32.01,0,3.98,2.51,0,79.58,0,0,0,0,0,0,0,1.67,0
