stage,axial,blastomeres,epidermis,glial,gut,heart,mesenchyme,neural,periderm,somites,spinal.cord,vasculature
  3-4,0,198.39,0,0,0,0,0,0,16.78,0,0,0
  5-6,6.37,39.33,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.18,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.7,0,2.39,1.23,0
 24-34,0,0,0,0,0,0,0,0.78,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.78,0,0,2,0.83
 48-58,0,0,0,0,0,0.94,0,0,0,0,0,0.46
 60-70,0,0,0,0,0,0,0,0,0,0,1.93,0
 72-82,0,0,0,2.6,0.51,0,0,0,0,0,0,0
 96-106,0,0,0,6.47,0,0,0.88,0.69,0,0,0,0
108-118,0,0,0.73,0,0,0,0,0,0,0,0,0.62
120,0,0,0,0,0,0,0,5.33,0,0,0,0
